Sonde serial number                          	R2030132
Balloon release date and time                	2021-04-02T12:00:02
Sonde type                                   	RS41-SG

   n AscRate HeightMSL      P  Temp   RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C    %    °C   °   m/s     K         °          °  g/kg       m      °
   1     0.0        57 1004.1  25.1 68.7  19.0 126   0.3 300.8 23.188101 120.373802 13.78       0      0
   2     3.6        61 1003.7  28.3 66.8  21.6 333   0.5 304.5 23.186587 120.375750 16.30      33    225
   3     4.4        65 1003.2  28.5 66.6  21.7 330   0.8 304.7 23.186099 120.376367 16.45      44    225
   4     4.8        70 1002.7  28.6 66.4  21.7 329   1.0 304.7 23.185934 120.376568 16.45      48    224
   5     4.9        75 1002.1  28.5 66.0  21.6 330   1.1 304.7 23.185928 120.376576 16.36      48    223
   6     4.8        79 1001.6  28.5 65.6  21.5 330   1.2 304.7 23.185964 120.376542 16.25      46    222
   7     4.6        84 1001.0  28.5 65.3  21.4 330   1.3 304.6 23.185992 120.376520 16.16      45    220
   8     4.3        88 1000.5  28.5 65.2  21.4 330   1.4 304.6 23.185996 120.376512 16.13      45    219
   9     4.2        93 1000.1  28.5 65.3  21.4 330   1.5 304.6 23.185979 120.376509 16.15      46    218
  10     4.5        97  999.6  28.4 65.6  21.4 330   1.6 304.6 23.185960 120.376507 16.18      48    217
  11     4.9       102  999.1  28.4 65.8  21.4 329   1.7 304.5 23.185948 120.376517 16.23      49    215
  12     5.0       107  998.4  28.4 66.0  21.5 329   1.8 304.5 23.185946 120.376541 16.27      47    212
  13     4.8       112  997.9  28.4 66.2  21.5 329   1.9 304.5 23.185944 120.376568 16.29      46    209
  14     4.4       116  997.4  28.3 66.2  21.5 329   2.0 304.5 23.185931 120.376584 16.28      47    206
  15     4.2       120  997.0  28.3 66.3  21.5 329   2.1 304.5 23.185907 120.376581 16.28      49    205
  16     4.1       125  996.5  28.3 66.3  21.5 329   2.2 304.5 23.185880 120.376566 16.30      53    205
  17     4.2       129  996.0  28.3 66.3  21.5 329   2.3 304.5 23.185855 120.376556 16.30      55    205
  18     4.1       133  995.6  28.3 66.4  21.5 329   2.4 304.4 23.185833 120.376559 16.32      58    204
  19     3.8       137  995.1  28.3 66.8  21.5 329   2.5 304.4 23.185810 120.376576 16.39      59    201
  20     3.7       140  994.8  28.3 67.2  21.6 329   2.6 304.4 23.185784 120.376602 16.49      61    198
  21     3.7       144  994.3  28.2 67.6  21.7 329   2.6 304.4 23.185757 120.376627 16.56      63    195
  22     4.0       148  993.9  28.2 67.8  21.7 329   2.7 304.4 23.185735 120.376647 16.58      65    193
  23     4.4       152  993.4  28.1 68.0  21.7 329   2.8 304.3 23.185717 120.376662 16.60      67    191
  24     4.8       157  992.9  28.1 68.3  21.7 329   2.8 304.3 23.185694 120.376672 16.63      69    190
  25     5.1       162  992.3  28.0 68.4  21.7 329   2.9 304.3 23.185664 120.376683 16.63      72    188
  26     5.0       167  991.7  28.0 68.5  21.7 330   2.9 304.2 23.185627 120.376699 16.61      76    187
  27     4.7       172  991.2  28.0 68.6  21.7 330   3.0 304.2 23.185592 120.376725 16.60      80    184
  28     4.4       176  990.7  27.9 68.6  21.6 330   3.0 304.1 23.185565 120.376761 16.58      82    182
  29     4.4       181  990.3  27.9 68.7  21.6 331   3.0 304.1 23.185547 120.376801 16.55      84    179
  30     4.9       186  989.7  27.8 68.8  21.6 331   3.1 304.0 23.185534 120.376838 16.55      86    176
  31     5.4       191  989.1  27.8 68.9  21.6 332   3.1 304.0 23.185522 120.376865 16.56      87    175
  32     5.5       197  988.5  27.8 68.9  21.6 333   3.1 304.0 23.185507 120.376878 16.55      89    174
  33     5.3       202  987.9  27.7 68.9  21.6 334   3.1 303.9 23.185489 120.376880 16.53      91    174
  34     4.8       207  987.3  27.7 69.0  21.5 335   3.1 303.9 23.185469 120.376878 16.52      93    174
  35     4.3       211  986.9  27.7 69.0  21.5 335   3.1 303.9 23.185446 120.376882 16.49      96    174
  36     4.0       215  986.4  27.7 69.0  21.5 336   3.1 303.8 23.185417 120.376895 16.47      99    174
  37     3.9       219  986.0  27.6 69.0  21.4 338   3.2 303.8 23.185386 120.376917 16.44     103    173
  38     4.0       223  985.6  27.6 69.0  21.4 339   3.2 303.7 23.185354 120.376940 16.41     107    172
  39     4.3       227  985.1  27.6 69.0  21.4 340   3.2 303.7 23.185324 120.376956 16.40     110    171
  40     4.6       232  984.6  27.5 69.1  21.4 341   3.2 303.7 23.185296 120.376960 16.40     113    171
  41     4.7       237  984.0  27.5 69.2  21.4 343   3.2 303.7 23.185270 120.376955 16.42     116    171
  42     4.7       241  983.5  27.5 69.4  21.4 344   3.2 303.6 23.185244 120.376946 16.42     119    172
  43     4.8       246  983.0  27.4 69.5  21.4 345   3.2 303.6 23.185216 120.376940 16.41     122    173
  44     4.9       251  982.5  27.4 69.5  21.3 346   3.2 303.5 23.185189 120.376940 16.38     125    173
  45     5.1       256  981.9  27.4 69.4  21.3 348   3.3 303.5 23.185161 120.376947 16.36     128    173
  46     5.1       261  981.3  27.3 69.4  21.3 349   3.3 303.5 23.185132 120.376959 16.35     131    172
  47     5.1       266  980.8  27.3 69.5  21.3 351   3.3 303.4 23.185102 120.376976 16.34     135    172
  48     5.0       271  980.2  27.3 69.4  21.2 352   3.3 303.4 23.185069 120.376994 16.29     139    171
  49     4.9       276  979.7  27.3 69.2  21.1 353   3.3 303.4 23.185032 120.377011 16.23     143    171
  50     4.7       281  979.2  27.2 69.1  21.1 354   3.4 303.3 23.184997 120.377021 16.19     147    171
  51     4.6       285  978.6  27.2 69.1  21.1 356   3.4 303.3 23.184968 120.377025 16.17     150    171
  52     4.6       290  978.1  27.2 69.2  21.1 357   3.4 303.3 23.184945 120.377023 16.18     153    171
  53     4.6       295  977.6  27.1 69.3  21.1 358   3.5 303.2 23.184927 120.377018 16.18     155    171
  54     4.7       299  977.1  27.1 69.3  21.0 359   3.5 303.2 23.184908 120.377012 16.15     157    172
  55     4.8       304  976.6  27.1 68.9  20.9   1   3.5 303.2 23.184880 120.377004 16.05     160    172
  56     4.8       309  976.1  27.1 68.2  20.7   2   3.6 303.1 23.184841 120.376997 15.90     164    172
  57     4.6       314  975.5  27.1 67.6  20.6   3   3.6 303.1 23.184796 120.376993 15.75     169    173
  58     4.3       318  975.1  27.1 67.1  20.5   4   3.7 303.1 23.184750 120.376992 15.64     174    173
  59     4.2       322  974.6  27.0 67.0  20.4   5   3.7 303.0 23.184707 120.376992 15.59     179    173
  60     4.2       326  974.2  27.0 67.0  20.4   6   3.7 303.0 23.184670 120.376990 15.57     183    173
  61     4.3       331  973.7  27.0 66.9  20.3   7   3.8 303.0 23.184638 120.376988 15.53     186    174
  62     4.4       335  973.2  27.0 66.8  20.3   8   3.8 303.0 23.184610 120.376986 15.49     189    174
  63     4.5       339  972.7  27.0 66.9  20.3   9   3.8 302.9 23.184582 120.376982 15.51     192    174
  64     4.7       344  972.2  26.9 66.9  20.3  10   3.9 302.9 23.184554 120.376975 15.51     195    174
  65     4.6       349  971.7  26.9 66.3  20.2  11   3.9 302.9 23.184523 120.376965 15.39     199    175
  66     4.4       353  971.2  27.0 65.3  19.9  12   4.0 302.9 23.184488 120.376953 15.17     202    175
  67     4.4       358  970.7  27.0 64.2  19.7  13   4.0 302.9 23.184448 120.376941 14.94     207    176
  68     4.4       362  970.3  27.0 63.2  19.5  14   4.0 302.9 23.184405 120.376928 14.74     211    176
  69     4.5       366  969.8  27.1 62.4  19.3  14   4.0 302.9 23.184362 120.376917 14.60     216    176
  70     4.6       371  969.2  27.1 62.1  19.2  15   4.1 302.9 23.184321 120.376907 14.55     220    177
  71     4.7       376  968.7  27.1 62.2  19.2  16   4.1 302.9 23.184283 120.376898 14.56     225    177
  72     4.6       380  968.2  27.0 62.6  19.3  17   4.1 302.9 23.184249 120.376890 14.62     228    177
  73     4.5       385  967.7  27.0 63.4  19.5  17   4.1 302.8 23.184219 120.376881 14.79     232    178
  74     4.3       389  967.3  26.9 64.9  19.8  18   4.2 302.8 23.184192 120.376870 15.09     235    178
  75     4.2       393  966.8  26.8 66.5  20.1  19   4.2 302.8 23.184165 120.376857 15.41     237    178
  76     4.1       398  966.4  26.8 67.7  20.3  19   4.2 302.8 23.184138 120.376840 15.65     240    179
  77     4.1       402  965.9  26.8 68.1  20.4  20   4.2 302.8 23.184110 120.376821 15.72     244    179
  78     4.1       406  965.5  26.8 66.8  20.1  21   4.2 302.8 23.184077 120.376799 15.44     247    180
  79     4.2       410  965.0  26.9 64.0  19.5  21   4.2 302.8 23.184038 120.376776 14.89     251    180
  80     4.3       414  964.5  27.0 61.5  19.0  22   4.2 302.8 23.183993 120.376755 14.39     256    181
  81     4.4       419  964.1  27.1 60.7  18.9  22   4.2 302.9 23.183944 120.376736 14.29     262    181
  82     4.4       423  963.6  27.1 61.8  19.2  23   4.2 302.9 23.183895 120.376720 14.57     267    181
  83     4.4       427  963.1  27.1 63.3  19.5  23   4.1 302.9 23.183847 120.376705 14.90     273    182
  84     4.4       432  962.6  27.0 64.3  19.7  24   4.1 302.9 23.183803 120.376688 15.08     278    182
  85     4.3       436  962.1  26.9 64.5  19.7  24   4.1 302.9 23.183763 120.376671 15.11     282    182
  86     4.1       440  961.7  26.9 64.3  19.7  25   4.1 302.8 23.183727 120.376655 15.07     286    183
  87     4.1       444  961.3  26.9 64.3  19.7  25   4.1 302.8 23.183692 120.376641 15.07     290    183
  88     4.3       449  960.8  26.9 64.6  19.7  26   4.0 302.9 23.183658 120.376629 15.14     294    183
  89     4.6       453  960.3  27.0 64.6  19.7  26   4.0 302.9 23.183624 120.376615 15.16     298    183
  90     4.7       458  959.8  27.0 64.5  19.7  26   4.0 302.9 23.183592 120.376597 15.15     301    184
  91     4.6       463  959.3  26.9 64.5  19.7  27   4.0 302.9 23.183563 120.376578 15.14     305    184
  92     4.5       467  958.8  26.9 64.7  19.7  27   3.9 302.8 23.183541 120.376557 15.15     307    184
  93     4.4       471  958.3  26.8 64.9  19.7  28   3.9 302.8 23.183523 120.376535 15.16     310    185
  94     4.5       476  957.9  26.8 64.9  19.7  28   3.9 302.7 23.183507 120.376512 15.14     312    185
  95     4.7       481  957.4  26.8 64.8  19.6  29   3.9 302.7 23.183489 120.376487 15.10     314    186
  96     5.0       486  956.8  26.8 64.6  19.6  29   3.8 302.7 23.183467 120.376462 15.06     316    186
  97     5.1       491  956.2  26.7 64.5  19.5  30   3.8 302.6 23.183439 120.376438 15.02     320    186
  98     4.9       496  955.7  26.7 64.4  19.5  30   3.8 302.6 23.183405 120.376418 14.98     324    187
  99     4.6       500  955.2  26.7 64.4  19.5  31   3.8 302.6 23.183367 120.376404 14.96     328    187
 100     4.3       505  954.8  26.7 64.4  19.4  31   3.7 302.6 23.183326 120.376395 14.95     333    187
 101     4.2       509  954.3  26.6 64.5  19.4  32   3.7 302.5 23.183285 120.376387 14.93     337    187
 102     4.0       513  953.9  26.6 64.5  19.4  32   3.7 302.5 23.183249 120.376377 14.91     341    187
 103     3.7       516  953.5  26.6 64.5  19.4  33   3.7 302.4 23.183220 120.376366 14.90     345    187
 104     3.6       520  953.1  26.5 64.7  19.4  33   3.7 302.4 23.183197 120.376352 14.91     347    187
 105     3.7       524  952.7  26.5 65.0  19.4  34   3.7 302.4 23.183176 120.376337 14.96     350    188
 106     4.1       528  952.3  26.4 65.3  19.4  34   3.7 302.3 23.183155 120.376319 15.00     352    188
 107     4.4       532  951.8  26.4 65.4  19.4  34   3.6 302.3 23.183131 120.376298 14.99     355    188
 108     4.5       537  951.3  26.4 65.2  19.4  35   3.6 302.3 23.183105 120.376275 14.95     359    188
 109     4.4       541  950.8  26.5 64.8  19.3  35   3.6 302.3 23.183078 120.376251 14.92     362    189
 110     4.3       545  950.4  26.5 64.4  19.3  35   3.6 302.4 23.183051 120.376223 14.87     365    189
 111     4.3       550  949.9  26.5 64.3  19.2  35   3.6 302.4 23.183024 120.376192 14.84     369    189
 112     4.4       554  949.5  26.5 64.4  19.2  36   3.6 302.3 23.182998 120.376157 14.84     372    190
 113     4.5       558  948.9  26.4 64.5  19.2  36   3.6 302.3 23.182973 120.376122 14.84     376    190
 114     4.5       563  948.5  26.4 64.5  19.2  36   3.5 302.3 23.182948 120.376089 14.85     379    191
 115     4.5       567  948.0  26.4 64.5  19.2  36   3.5 302.3 23.182923 120.376058 14.82     382    191
 116     4.7       572  947.5  26.4 64.4  19.1  36   3.5 302.2 23.182896 120.376030 14.79     386    192
 117     5.0       577  947.0  26.4 64.6  19.2  36   3.5 302.2 23.182866 120.376008 14.85     389    192
 118     5.0       582  946.4  26.4 65.1  19.3  35   3.5 302.2 23.182837 120.375990 14.96     393    192
 119     4.7       587  945.9  26.3 65.6  19.4  35   3.5 302.2 23.182811 120.375976 15.05     396    192
 120     4.5       591  945.5  26.3 65.8  19.4  35   3.4 302.2 23.182790 120.375965 15.08     399    192
 121     4.2       596  945.0  26.3 65.8  19.4  34   3.4 302.2 23.182773 120.375954 15.08     401    192
 122     4.1       600  944.6  26.3 65.7  19.4  34   3.4 302.2 23.182758 120.375940 15.05     403    192
 123     3.9       603  944.1  26.3 65.5  19.3  33   3.4 302.1 23.182743 120.375922 15.00     405    193
 124     3.8       607  943.8  26.2 65.3  19.3  33   3.4 302.1 23.182725 120.375903 14.96     407    193
 125     3.9       611  943.3  26.2 65.3  19.3  32   3.4 302.1 23.182704 120.375882 14.96     410    193
 126     4.1       615  942.9  26.3 65.6  19.3  32   3.4 302.1 23.182680 120.375862 15.03     413    193
 127     4.4       620  942.4  26.2 65.8  19.4  31   3.3 302.2 23.182652 120.375842 15.08     416    193
 128     4.5       624  941.9  26.2 65.9  19.4  31   3.3 302.1 23.182622 120.375824 15.11     420    194
 129     4.6       629  941.4  26.2 66.1  19.4  30   3.3 302.1 23.182592 120.375811 15.13     424    194
 130     4.5       633  941.0  26.2 66.2  19.4  29   3.3 302.1 23.182562 120.375802 15.15     427    194
 131     4.4       638  940.5  26.2 66.3  19.4  29   3.3 302.1 23.182532 120.375793 15.16     430    194
 132     4.4       642  940.1  26.1 66.4  19.4  28   3.3 302.1 23.182502 120.375784 15.17     434    194
 133     4.6       647  939.6  26.1 66.4  19.4  27   3.3 302.0 23.182472 120.375773 15.16     437    194
 134     4.8       651  939.1  26.1 66.4  19.4  26   3.3 302.0 23.182443 120.375760 15.15     441    194
