Sonde serial number                          	S2251158
Balloon release date and time                	2021-04-01T21:00:02
Sonde type                                   	RS41-SGP

   n AscRate HeightMSL      P  Temp   RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C    %    °C   °   m/s     K         °          °  g/kg       m      °
   1     0.0        57 1003.1  21.9 85.0  19.3  56   1.0 297.6 23.188101 120.373802 14.11       0      0
   2     4.4        62 1002.5  22.0 95.2  21.2  52   0.9 298.0 23.186848 120.375393 15.96      25    184
   3     3.6        66 1002.1  22.0 97.7  21.7  49   0.9 298.1 23.186179 120.376224 16.42      39    226
   4     3.4        69 1001.7  22.1 97.0  21.6  47   0.9 298.2 23.185940 120.376493 16.34      46    226
   5     3.7        73 1001.3  22.3 95.6  21.5  45   0.9 298.3 23.185896 120.376506 16.29      50    227
   6     3.3        76 1000.9  22.5 93.5  21.4  44   0.9 298.6 23.185915 120.376443 16.17      52    227
   7     3.3        80 1000.5  22.8 90.6  21.1  43   0.9 298.8 23.185933 120.376389 15.91      53    227
   8     3.6        83 1000.1  23.2 87.5  21.1  41   0.9 299.3 23.185931 120.376362 15.82      55    226
   9     2.8        86  999.7  23.7 85.0  21.1  39   0.9 299.7 23.185914 120.376345 15.83      57    225
  10     3.2        89  999.3  23.9 83.7  21.0  36   0.9 300.0 23.185898 120.376321 15.79      60    226
  11     3.7        93  998.9  24.0 83.3  21.0  33   0.9 300.0 23.185890 120.376294 15.78      63    227
  12     3.8        97  998.5  24.1 83.2  21.1  30   0.9 300.1 23.185892 120.376278 15.86      64    228
  13     3.8       100  998.1  24.2 83.2  21.1  27   0.9 300.2 23.185896 120.376273 15.93      64    229
  14     3.8       104  997.6  24.2 83.3  21.2  23   0.9 300.2 23.185896 120.376274 15.99      64    229
  15     4.8       109  997.2  24.2 83.5  21.3  19   0.9 300.3 23.185890 120.376275 16.07      64    228
  16     4.3       113  996.8  24.3 83.7  21.3  14   0.9 300.3 23.185881 120.376278 16.15      65    227
  17     3.7       117  996.3  24.3 83.9  21.4   9   0.9 300.4 23.185875 120.376278 16.22      65    227
  18     3.5       121  995.9  24.3 84.1  21.4   5   0.9 300.4 23.185875 120.376272 16.26      66    227
  19     3.7       124  995.5  24.3 84.4  21.5 360   0.9 300.4 23.185877 120.376260 16.30      66    228
  20     3.9       128  995.1  24.2 84.7  21.5 355   1.0 300.3 23.185872 120.376253 16.33      67    228
  21     3.4       132  994.7  24.2 84.9  21.5 351   1.0 300.3 23.185861 120.376261 16.35      68    227
  22     2.6       134  994.3  24.2 85.1  21.5 347   1.0 300.3 23.185847 120.376281 16.36      67    225
  23     3.9       138  993.9  24.1 85.1  21.5 343   1.1 300.2 23.185832 120.376296 16.34      67    223
  24     4.0       142  993.5  24.1 85.1  21.4 339   1.1 300.2 23.185820 120.376300 16.31      68    222
  25     3.1       145  993.1  24.1 85.2  21.4 336   1.2 300.2 23.185809 120.376297 16.31      69    221
  26     2.7       148  992.8  24.0 85.4  21.4 334   1.2 300.1 23.185794 120.376297 16.32      70    221
  27     3.4       151  992.4  24.0 85.8  21.5 331   1.3 300.1 23.185777 120.376311 16.35      71    219
  28     2.8       154  992.0  24.0 86.1  21.5 329   1.3 300.1 23.185767 120.376338 16.41      70    216
  29     3.2       157  991.6  23.9 86.4  21.5 327   1.4 300.1 23.185762 120.376359 16.44      69    215
  30     3.7       161  991.2  23.9 86.6  21.5 325   1.4 300.0 23.185758 120.376367 16.46      69    214
  31     4.0       165  990.8  23.9 86.8  21.6 324   1.5 300.0 23.185751 120.376365 16.48      70    214
  32     3.7       169  990.4  23.8 87.2  21.6 323   1.6 300.0 23.185739 120.376360 16.52      71    213
  33     3.5       172  990.1  23.8 87.5  21.6 321   1.6 300.0 23.185720 120.376360 16.56      73    212
  34     4.3       177  989.7  23.8 87.6  21.6 320   1.7 299.9 23.185698 120.376368 16.56      75    211
  35     2.9       179  989.3  23.8 87.7  21.6 319   1.7 299.9 23.185677 120.376380 16.55      76    209
  36     2.6       182  989.0  23.7 87.8  21.6 318   1.8 299.9 23.185661 120.376392 16.55      77    208
