Sonde serial number                          	R2040229
Balloon release date and time                	2021-04-02T18:00:03
Sonde type                                   	RS41-SG

   n AscRate HeightMSL      P  Temp   RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C    %    °C   °   m/s     K         °          °  g/kg       m      °
   1     0.0        57 1005.1  22.1 84.1  19.3 304   0.8 297.8 23.188101 120.373802 14.10       0      0
   2     3.3        60 1004.8  22.6 95.3  21.8 337   1.1 298.7 23.186519 120.375773 16.53      34    226
   3     3.4        64 1004.3  22.6 95.4  21.8 343   1.4 298.7 23.186054 120.376347 16.53      45    224
   4     3.1        67 1003.9  22.6 95.4  21.8 345   1.5 298.7 23.185888 120.376545 16.52      48    221
   5     2.9        70 1003.7  22.6 95.0  21.8 346   1.6 298.7 23.185863 120.376562 16.49      49    218
   6     3.1        73 1003.4  22.7 94.4  21.8 346   1.7 298.8 23.185874 120.376534 16.50      50    214
   7     3.5        76 1002.9  22.8 93.7  21.8 347   1.7 299.0 23.185880 120.376511 16.52      51    212
   8     4.0        80 1002.4  22.9 93.2  21.8 347   1.8 299.1 23.185868 120.376505 16.54      52    210
   9     4.1        84 1002.0  23.0 93.0  21.8 348   1.9 299.1 23.185844 120.376508 16.54      54    208
  10     4.0        88 1001.5  23.0 92.9  21.8 348   2.0 299.1 23.185817 120.376512 16.54      57    206
  11     3.9        92 1001.1  23.0 92.9  21.8 349   2.0 299.1 23.185792 120.376516 16.52      59    205
  12     3.6        96 1000.7  22.9 93.0  21.7 349   2.1 299.0 23.185771 120.376521 16.50      61    203
  13     3.2        99 1000.3  22.9 93.2  21.7 350   2.2 299.0 23.185752 120.376524 16.51      63    202
  14     2.8       102  999.9  22.9 93.4  21.8 350   2.2 299.0 23.185734 120.376526 16.56      65    201
  15     2.4       104  999.7  22.9 93.5  21.8 351   2.3 299.1 23.185713 120.376524 16.63      67    201
  16     2.3       106  999.5  23.0 93.5  21.9 351   2.3 299.1 23.185689 120.376521 16.66      70    200
  17     2.6       109  999.2  23.0 93.5  21.9 352   2.4 299.1 23.185665 120.376520 16.66      72    200
  18     2.9       112  998.8  22.9 93.6  21.8 352   2.4 299.1 23.185642 120.376524 16.66      74    199
  19     3.2       115  998.5  22.9 93.7  21.8 352   2.4 299.1 23.185618 120.376531 16.67      77    197
  20     3.3       118  998.1  22.9 93.7  21.8 352   2.4 299.1 23.185593 120.376537 16.67      79    196
  21     3.3       122  997.7  22.9 93.7  21.8 353   2.5 299.1 23.185567 120.376536 16.67      82    196
  22     3.4       125  997.3  22.9 93.7  21.8 353   2.5 299.1 23.185544 120.376528 16.68      85    196
  23     3.4       128  996.9  22.9 93.7  21.8 353   2.5 299.1 23.185524 120.376522 16.68      87    196
  24     3.3       132  996.5  22.9 93.7  21.8 353   2.5 299.1 23.185506 120.376522 16.68      89    196
  25     3.1       135  996.2  22.9 93.7  21.8 352   2.5 299.1 23.185484 120.376529 16.68      91    195
  26     3.0       138  995.9  22.9 93.8  21.8 352   2.5 299.0 23.185453 120.376538 16.69      94    194
  27     3.0       141  995.6  22.9 93.8  21.9 352   2.5 299.1 23.185417 120.376542 16.73      98    193
  28     3.3       144  995.1  23.0 93.7  21.9 351   2.5 299.1 23.185381 120.376536 16.77     102    193
  29     3.6       148  994.7  23.1 93.4  21.9 351   2.5 299.2 23.185352 120.376526 16.81     105    193
  30     3.6       151  994.3  23.2 92.8  21.9 350   2.5 299.4 23.185329 120.376519 16.83     108    193
  31     3.4       155  994.0  23.4 91.8  22.0 350   2.5 299.6 23.185310 120.376514 16.86     110    193
  32     2.9       158  993.5  23.6 90.4  22.0 349   2.4 299.8 23.185289 120.376511 16.85     112    193
  33     2.0       160  993.2  23.8 88.9  21.9 349   2.4 300.0 23.185264 120.376511 16.76     115    193
  34     1.8       162  993.1  23.9 87.9  21.8 348   2.4 300.1 23.185240 120.376515 16.69     118    192
  35     2.2       164  993.0  24.0 87.3  21.8 347   2.4 300.1 23.185221 120.376522 16.64     119    192
  36     3.7       168  992.6  24.0 86.9  21.7 346   2.4 300.2 23.185209 120.376533 16.62     121    191
  37     5.4       173  991.7  24.1 86.7  21.7 345   2.4 300.2 23.185204 120.376547 16.62     121    190
  38     5.0       178  991.2  24.1 86.4  21.7 344   2.4 300.2 23.185193 120.376560 16.61     122    189
