Sonde serial number                          	S2260409
Balloon release date and time                	2021-04-02T00:00:01
Sonde type                                   	RS41-SGP

   n AscRate HeightMSL      P  Temp   RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C    %    °C   °   m/s     K         °          °  g/kg       m      °
   1     0.0        57 1006.1  25.8 69.9  19.9  63   0.4 301.6 23.188101 120.373802 14.64       0      0
   2    13.0        70 1004.6  25.6 81.1  22.1 352   0.6 301.8 23.186569 120.375741 16.83      31    227
   3     5.0        75 1004.1  25.5 81.5  22.1 343   0.8 301.7 23.186078 120.376349 16.79      42    225
   4     6.0        81 1003.4  25.4 81.8  22.0 341   0.9 301.6 23.185902 120.376551 16.76      46    223
   5     5.1        86 1002.8  25.3 81.4  21.9 341   0.9 301.5 23.185878 120.376556 16.67      48    220
   6     5.6        92 1002.2  25.4 80.8  21.8 342   1.0 301.5 23.185900 120.376511 16.56      49    219
   7     5.6        97 1001.6  25.3 80.1  21.7 343   1.0 301.5 23.185926 120.376483 16.40      48    217
   8     5.3       103 1001.0  25.3 79.8  21.5 343   1.1 301.4 23.185940 120.376486 16.27      46    216
   9     3.8       106 1000.4  25.2 79.8  21.5 343   1.2 301.3 23.185937 120.376506 16.20      45    214
  10     5.0       111  999.8  25.0 80.1  21.4 343   1.2 301.1 23.185924 120.376519 16.14      46    211
  11     5.3       117  999.2  24.9 80.4  21.3 343   1.3 301.0 23.185907 120.376518 16.10      47    210
  12     6.0       123  998.6  24.9 80.7  21.3 344   1.4 301.0 23.185895 120.376508 16.12      49    211
  13     5.9       129  998.0  24.8 80.9  21.3 344   1.5 300.9 23.185890 120.376497 16.11      50    211
  14     5.4       134  997.3  24.8 81.0  21.3 344   1.5 300.8 23.185884 120.376491 16.10      51    212
  15     6.2       140  996.7  24.7 81.1  21.3 343   1.6 300.8 23.185869 120.376491 16.06      52    211
  16     5.6       146  996.1  24.6 81.2  21.2 343   1.7 300.7 23.185854 120.376494 16.02      54    209
  17     5.2       151  995.4  24.6 81.4  21.2 343   1.8 300.6 23.185847 120.376497 16.01      54    209
  18     5.6       156  994.8  24.5 81.6  21.2 343   1.9 300.6 23.185848 120.376495 16.02      54    209
  19     6.2       163  994.2  24.5 81.8  21.2 343   1.9 300.6 23.185847 120.376491 16.07      55    209
  20     5.8       168  993.6  24.5 81.9  21.2 343   2.0 300.6 23.185836 120.376491 16.06      56    209
  21     5.4       174  993.0  24.4 81.9  21.1 342   2.1 300.5 23.185812 120.376502 16.01      57    206
  22     4.5       178  992.4  24.4 81.9  21.1 342   2.2 300.4 23.185778 120.376523 15.97      60    203
  23     4.8       183  991.8  24.3 81.8  21.0 342   2.3 300.3 23.185740 120.376546 15.90      63    199
  24     5.1       188  991.3  24.3 81.8  21.0 341   2.4 300.3 23.185704 120.376561 15.86      66    197
  25     4.4       193  990.7  24.2 82.2  21.0 341   2.5 300.3 23.185677 120.376563 15.92      69    196
  26     4.3       197  990.2  24.2 82.6  21.0 341   2.5 300.2 23.185660 120.376557 15.96      71    196
  27     5.0       202  989.6  24.1 82.6  21.0 340   2.6 300.1 23.185644 120.376552 15.88      73    196
  28     5.2       207  989.1  24.0 82.0  20.8 340   2.7 300.0 23.185622 120.376556 15.70      75    195
  29     4.9       212  988.5  24.0 81.2  20.6 339   2.8 299.9 23.185591 120.376573 15.52      78    194
  30     4.5       216  988.0  24.0 80.8  20.5 339   2.9 299.9 23.185561 120.376595 15.44      81    191
  31     5.2       222  987.4  23.9 80.8  20.4 338   2.9 299.9 23.185539 120.376613 15.40      83    190
  32     5.4       227  986.8  23.9 80.6  20.4 338   3.0 299.8 23.185522 120.376623 15.35      85    189
  33     5.4       233  986.2  23.9 80.7  20.4 337   3.1 299.8 23.185502 120.376625 15.34      87    189
  34     5.0       237  985.6  23.8 81.6  20.5 336   3.1 299.8 23.185472 120.376627 15.48      90    188
  35     5.4       243  985.0  23.7 83.2  20.7 336   3.2 299.7 23.185433 120.376631 15.73      94    187
  36     5.9       249  984.4  23.6 84.2  20.8 335   3.3 299.7 23.185396 120.376640 15.85      98    187
  37     5.4       254  983.8  23.6 83.5  20.6 335   3.3 299.6 23.185368 120.376654 15.67     101    186
  38     4.5       259  983.2  23.6 82.2  20.4 334   3.4 299.5 23.185349 120.376673 15.41     103    184
  39     5.8       265  982.6  23.5 82.3  20.3 333   3.5 299.5 23.185328 120.376696 15.39     105    183
  40     5.9       270  982.0  23.5 83.3  20.5 332   3.5 299.4 23.185301 120.376716 15.53     108    182
  41     5.3       276  981.4  23.4 84.1  20.6 332   3.6 299.4 23.185266 120.376733 15.64     112    181
  42     4.6       280  980.7  23.4 84.3  20.6 331   3.6 299.3 23.185228 120.376749 15.66     116    180
  43     6.2       287  980.1  23.3 84.6  20.6 330   3.7 299.3 23.185192 120.376769 15.67     120    179
  44     6.5       293  979.5  23.2 85.3  20.6 329   3.7 299.2 23.185159 120.376793 15.75     124    178
  45     5.9       299  978.8  23.2 86.0  20.7 329   3.8 299.2 23.185129 120.376817 15.84     127    177
  46     5.2       304  978.1  23.1 86.5  20.8 328   3.8 299.2 23.185100 120.376836 15.89     131    176
  47     6.1       310  977.5  23.1 86.9  20.8 327   3.9 299.1 23.185073 120.376851 15.93     134    176
  48     6.4       317  976.8  23.0 87.5  20.8 327   3.9 299.0 23.185047 120.376864 15.98     137    175
  49     6.5       323  976.2  22.9 88.0  20.9 326   4.0 299.0 23.185025 120.376875 16.02     139    175
  50     6.2       329  975.5  22.9 88.2  20.8 325   4.1 298.9 23.185006 120.376885 16.01     141    174
  51     5.0       334  974.9  22.8 88.3  20.8 325   4.1 298.9 23.184988 120.376896 16.01     143    174
  52     5.6       340  974.2  22.8 88.5  20.8 324   4.2 298.8 23.184968 120.376914 16.02     146    173
  53     6.4       346  973.6  22.7 88.5  20.8 324   4.2 298.8 23.184942 120.376941 15.96     149    172
  54     5.3       352  973.0  22.7 87.8  20.6 323   4.3 298.7 23.184910 120.376979 15.79     153    171
  55     5.0       357  972.4  22.6 86.6  20.3 323   4.3 298.6 23.184872 120.377022 15.54     158    170
  56     5.1       362  971.8  22.6 85.5  20.1 322   4.4 298.5 23.184836 120.377065 15.31     163    169
  57     5.3       367  971.3  22.6 85.0  19.9 322   4.4 298.5 23.184800 120.377100 15.21     167    168
  58     4.5       372  970.7  22.6 84.9  19.9 322   4.5 298.5 23.184765 120.377127 15.18     172    167
  59     4.7       376  970.1  22.5 84.9  19.9 321   4.5 298.4 23.184726 120.377148 15.15     176    167
  60     4.1       380  969.6  22.5 84.9  19.8 321   4.6 298.4 23.184685 120.377169 15.13     181    166
  61     5.8       386  969.0  22.5 84.9  19.8 321   4.6 298.3 23.184646 120.377195 15.11     186    166
  62     6.2       392  968.4  22.4 84.9  19.8 321   4.7 298.3 23.184610 120.377227 15.10     191    165
  63     6.2       398  967.8  22.4 84.9  19.7 321   4.7 298.3 23.184577 120.377266 15.08     195    164
  64     5.6       404  967.2  22.4 84.8  19.7 321   4.7 298.2 23.184547 120.377308 15.03     200    163
  65     4.7       409  966.6  22.3 84.6  19.6 321   4.8 298.2 23.184518 120.377350 14.97     204    163
  66     4.8       414  966.0  22.3 84.1  19.5 320   4.8 298.2 23.184490 120.377387 14.88     208    162
  67     5.2       419  965.4  22.4 83.3  19.4 320   4.8 298.2 23.184460 120.377415 14.78     212    161
  68     5.2       424  964.8  22.4 82.4  19.3 320   4.9 298.2 23.184428 120.377440 14.65     216    161
  69     5.4       429  964.2  22.4 81.6  19.1 320   4.9 298.2 23.184399 120.377465 14.53     220    161
  70     6.0       435  963.6  22.4 81.3  19.1 320   4.9 298.2 23.184375 120.377495 14.50     224    160
  71     5.9       441  963.0  22.4 81.5  19.1 320   4.9 298.2 23.184355 120.377529 14.53     227    159
  72     5.7       447  962.4  22.4 81.9  19.1 320   4.9 298.1 23.184333 120.377565 14.57     231    159
  73     5.9       453  961.8  22.3 82.5  19.2 319   5.0 298.1 23.184302 120.377597 14.63     235    158
  74     5.4       458  961.3  22.2 83.1  19.2 319   5.0 298.0 23.184260 120.377621 14.67     240    158
  75     5.1       463  960.7  22.1 83.3  19.2 319   5.0 297.9 23.184208 120.377640 14.64     246    158
  76     3.8       467  960.2  22.1 82.8  19.1 319   5.0 297.9 23.184149 120.377654 14.55     253    159
  77     3.6       471  959.7  22.2 82.1  19.0 318   5.0 297.9 23.184089 120.377671 14.47     260    159
  78     4.0       475  959.2  22.2 81.7  18.9 318   5.0 297.9 23.184035 120.377693 14.40     266    159
  79     5.1       480  958.7  22.2 81.3  18.8 318   5.0 297.9 23.183992 120.377724 14.34     272    159
  80     5.3       485  958.1  22.1 80.8  18.7 317   5.0 297.9 23.183960 120.377760 14.25     277    158
  81     5.4       490  957.6  22.1 80.1  18.6 317   5.0 297.8 23.183935 120.377797 14.13     281    158
  82     4.9       495  957.1  22.1 79.6  18.5 317   5.0 297.8 23.183912 120.377832 14.04     284    157
  83     4.4       500  956.5  22.1 79.5  18.4 316   5.0 297.8 23.183885 120.377867 14.02     288    157
  84     4.4       504  956.0  22.1 79.8  18.4 316   5.0 297.8 23.183857 120.377902 14.05     293    156
  85     5.1       509  955.5  22.0 80.2  18.5 316   4.9 297.7 23.183830 120.377938 14.09     297    156
  86     6.2       515  954.9  22.0 80.4  18.5 316   4.9 297.7 23.183804 120.377975 14.10     301    155
  87     5.0       520  954.4  21.9 80.5  18.4 315   4.9 297.6 23.183779 120.378013 14.08     305    155
  88     4.8       525  953.9  21.9 80.4  18.4 315   4.9 297.6 23.183752 120.378055 14.04     310    154
  89     4.2       529  953.4  21.9 80.5  18.4 315   4.8 297.5 23.183726 120.378102 14.03     315    154
  90     3.5       533  952.9  21.8 80.7  18.4 315   4.8 297.5 23.183700 120.378153 14.05     319    153
  91     4.4       537  952.4  21.8 81.2  18.4 315   4.7 297.5 23.183676 120.378204 14.11     324    153
  92     4.8       542  952.0  21.8 81.6  18.5 316   4.7 297.4 23.183654 120.378249 14.15     328    152
  93     3.9       546  951.5  21.7 81.9  18.5 316   4.6 297.4 23.183628 120.378287 14.17     333    152
  94     3.7       550  951.1  21.7 82.1  18.5 316   4.5 297.4 23.183597 120.378319 14.20     337    152
  95     3.5       553  950.6  21.7 82.5  18.6 317   4.5 297.4 23.183559 120.378352 14.26     343    151
  96     4.2       557  950.1  21.7 82.8  18.6 317   4.4 297.4 23.183518 120.378387 14.32     348    151
  97     5.1       562  949.6  21.7 82.9  18.6 318   4.3 297.4 23.183478 120.378426 14.33     354    151
  98     4.6       567  949.1  21.7 82.6  18.6 318   4.3 297.4 23.183442 120.378466 14.29     360    151
  99     4.7       572  948.6  21.7 82.2  18.5 319   4.2 297.4 23.183412 120.378499 14.22     364    151
 100     5.1       577  948.1  21.7 81.8  18.4 320   4.1 297.4 23.183384 120.378522 14.16     368    150
 101     5.4       582  947.5  21.6 81.5  18.4 321   4.0 297.3 23.183355 120.378536 14.11     372    151
 102     5.7       588  947.0  21.6 81.3  18.3 322   3.9 297.3 23.183324 120.378546 14.06     375    151
 103     4.7       593  946.4  21.6 81.2  18.2 323   3.9 297.3 23.183292 120.378559 14.03     379    151
 104     4.7       597  945.9  21.6 81.1  18.2 324   3.8 297.2 23.183262 120.378577 14.00     383    151
 105     5.0       602  945.3  21.5 81.2  18.2 325   3.7 297.2 23.183237 120.378601 14.00     386    151
 106     5.3       608  944.8  21.5 81.2  18.2 327   3.7 297.2 23.183214 120.378625 14.01     390    151
 107     5.0       613  944.3  21.5 81.2  18.2 328   3.6 297.2 23.183194 120.378645 14.00     393    150
 108     4.5       617  943.7  21.5 81.0  18.1 329   3.5 297.2 23.183173 120.378661 13.95     395    150
 109     4.4       622  943.2  21.5 80.6  18.0 331   3.5 297.1 23.183153 120.378670 13.88     398    150
 110     5.1       627  942.7  21.5 80.0  17.9 333   3.4 297.1 23.183135 120.378671 13.77     400    151
 111     5.8       633  942.3  21.5 79.0  17.7 334   3.3 297.1 23.183117 120.378666 13.63     401    151
 112     3.7       636  941.8  21.6 77.9  17.6 336   3.3 297.1 23.183099 120.378661 13.49     403    151
 113     3.4       640  941.3  21.6 77.0  17.4 338   3.2 297.2 23.183078 120.378660 13.38     405    151
 114     3.6       643  940.9  21.6 76.8  17.4 339   3.2 297.2 23.183052 120.378667 13.34     407    151
 115     3.5       647  940.5  21.6 76.9  17.4 341   3.2 297.1 23.183021 120.378682 13.34     411    151
 116     3.6       650  940.1  21.6 76.9  17.3 343   3.1 297.1 23.182986 120.378701 13.32     416    151
 117     4.0       654  939.7  21.6 76.4  17.2 345   3.1 297.1 23.182949 120.378721 13.24     420    151
 118     4.2       659  939.3  21.6 75.6  17.1 347   3.0 297.1 23.182913 120.378742 13.11     425    151
 119     3.2       662  938.9  21.6 74.7  16.9 349   3.0 297.1 23.182879 120.378762 12.99     429    151
 120     2.7       665  938.5  21.6 74.6  16.9 351   3.0 297.1 23.182846 120.378783 12.98     433    151
 121     2.8       667  938.1  21.6 75.0  17.0 353   2.9 297.1 23.182815 120.378803 13.03     437    151
 122     4.6       672  937.7  21.5 75.4  17.0 355   2.9 297.0 23.182788 120.378820 13.07     441    151
 123     4.8       677  937.3  21.5 75.6  17.0 357   2.9 297.0 23.182768 120.378831 13.07     443    151
 124     4.2       681  936.9  21.4 75.5  17.0 359   2.9 296.9 23.182752 120.378835 13.04     445    151
 125     3.6       685  936.5  21.4 75.3  16.9   1   2.8 296.9 23.182738 120.378834 12.98     446    151
 126     3.3       688  936.1  21.4 75.0  16.8   4   2.8 296.9 23.182721 120.378827 12.92     447    152
 127     3.3       691  935.6  21.4 74.6  16.7   6   2.8 296.8 23.182698 120.378816 12.85     449    152
 128     4.4       696  935.2  21.4 74.0  16.6   8   2.8 296.8 23.182668 120.378803 12.76     452    152
 129     4.6       700  934.8  21.4 73.4  16.5  10   2.7 296.9 23.182633 120.378786 12.68     454    153
 130     4.7       705  934.4  21.5 72.9  16.4  12   2.7 296.9 23.182598 120.378765 12.64     457    153
 131     3.4       708  934.0  21.5 72.7  16.4  13   2.7 296.9 23.182564 120.378741 12.61     459    154
 132     2.0       710  933.6  21.5 72.6  16.4  15   2.7 296.9 23.182532 120.378715 12.59     461    154
 133     3.2       713  933.2  21.5 72.6  16.4  16   2.6 296.9 23.182500 120.378692 12.59     463    155
 134     3.7       717  932.9  21.4 72.7  16.3  18   2.6 296.8 23.182471 120.378675 12.59     465    155
 135     3.9       721  932.5  21.4 72.5  16.3  19   2.6 296.8 23.182446 120.378663 12.56     467    155
 136     3.7       725  932.1  21.4 72.3  16.2  20   2.6 296.8 23.182425 120.378654 12.51     469    155
 137     5.2       730  931.7  21.4 72.1  16.2  20   2.6 296.8 23.182409 120.378644 12.48     470    156
 138     3.6       734  931.3  21.4 71.6  16.1  21   2.5 296.8 23.182397 120.378633 12.40     471    156
 139     3.6       737  930.9  21.4 70.3  15.8  21   2.5 296.7 23.182389 120.378620 12.17     471    156
 140     3.1       740  930.6  21.4 68.2  15.4  21   2.5 296.7 23.182378 120.378611 11.83     472    156
 141     3.0       743  930.3  21.5 66.1  14.9  21   2.4 296.7 23.182366 120.378603 11.50     473    156
 142     2.5       746  930.0  21.5 64.7  14.6  21   2.4 296.7 23.182355 120.378593 11.28     473    157
 143     2.5       748  929.7  21.6 63.7  14.4  20   2.4 296.7 23.182348 120.378577 11.14     474    157
 144     1.7       750  929.4  21.6 63.1  14.3  19   2.4 296.7 23.182340 120.378559 11.05     474    157
 145     2.1       752  929.1  21.6 63.0  14.3  18   2.4 296.8 23.182329 120.378542 11.05     474    157
 146     2.5       755  928.9  21.6 63.9  14.5  16   2.4 296.8 23.182313 120.378529 11.21     475    157
 147     2.5       757  928.6  21.6 66.3  15.1  15   2.4 296.8 23.182293 120.378518 11.63     477    158
 148     3.2       760  928.4  21.6 69.8  15.8  13   2.3 296.9 23.182269 120.378511 12.23     479    158
 149     1.9       762  928.1  21.5 72.5  16.4  12   2.4 297.0 23.182244 120.378507 12.69     481    158
 150     2.1       764  927.9  21.5 73.6  16.6  10   2.4 296.9 23.182223 120.378506 12.86     484    158
 151     2.8       767  927.6  21.5 73.9  16.6   8   2.4 296.9 23.182205 120.378507 12.89     485    158
 152     2.1       769  927.4  21.4 73.9  16.6   6   2.4 296.9 23.182186 120.378509 12.88     487    158
 153     2.6       772  927.1  21.4 73.6  16.5   4   2.4 296.9 23.182168 120.378512 12.83     489    158
 154     1.9       774  926.9  21.4 73.0  16.4   3   2.5 296.9 23.182149 120.378516 12.73     492    158
 155     1.9       776  926.7  21.5 71.9  16.2   2   2.5 296.9 23.182128 120.378519 12.54     494    158
 156     2.2       778  926.4  21.5 69.7  15.7   1   2.5 296.8 23.182101 120.378523 12.19     497    159
 157     2.5       780  926.2  21.6 66.9  15.2 359   2.6 296.8 23.182069 120.378529 11.75     500    159
 158     2.1       782  926.0  21.6 64.7  14.7 358   2.6 296.8 23.182039 120.378535 11.40     504    159
 159     1.8       784  925.8  21.7 63.4  14.5 357   2.6 296.9 23.182013 120.378538 11.23     506    159
 160     2.1       786  925.5  21.8 63.0  14.4 355   2.7 296.9 23.181987 120.378537 11.18     509    159
 161     1.8       788  925.3  21.8 63.2  14.5 354   2.8 296.9 23.181957 120.378536 11.25     512    159
 162     2.5       790  925.0  21.8 63.9  14.7 353   2.8 297.0 23.181927 120.378535 11.39     515    159
 163     3.1       794  924.8  21.8 63.9  14.7 352   2.9 297.0 23.181897 120.378534 11.42     518    159
 164     2.3       796  924.5  21.9 62.3  14.4 351   2.9 297.1 23.181872 120.378534 11.17     521    159
 165     2.6       798  924.3  22.0 59.4  13.8 350   3.0 297.1 23.181846 120.378539 10.71     524    160
 166     2.1       801  924.0  22.1 56.5  13.1 350   3.0 297.1 23.181821 120.378548 10.25     527    160
 167     2.5       803  923.7  22.3 54.5  12.7 349   3.1 297.2 23.181794 120.378560  9.97     530    160
 168     2.6       806  923.5  22.4 53.1  12.4 348   3.1 297.3 23.181770 120.378571  9.79     533    160
 169     2.0       808  923.2  22.5 50.6  11.8 348   3.2 297.4 23.181747 120.378575  9.39     535    160
 170     2.7       810  923.0  22.7 47.3  10.9 347   3.2 297.4 23.181725 120.378576  8.86     538    160
 171     2.9       813  922.7  22.8 45.6  10.5 346   3.2 297.5 23.181701 120.378579  8.60     540    160
 172     2.0       815  922.5  22.9 45.5  10.5 346   3.3 297.6 23.181672 120.378583  8.63     543    160
 173     2.4       818  922.2  22.9 46.0  10.7 345   3.3 297.7 23.181639 120.378589  8.76     547    160
 174     2.4       820  921.9  23.0 47.0  11.1 345   3.4 297.7 23.181602 120.378597  8.98     551    160
 175     2.9       823  921.7  23.0 48.3  11.5 344   3.4 297.8 23.181564 120.378602  9.25     555    160
 176     2.1       825  921.4  23.0 49.0  11.8 344   3.4 297.9 23.181531 120.378603  9.42     559    160
 177     2.2       827  921.1  23.1 49.1  11.8 343   3.5 297.9 23.181507 120.378602  9.44     561    160
 178     3.0       830  920.9  23.1 48.9  11.8 343   3.5 297.9 23.181487 120.378605  9.42     563    160
 179     2.7       833  920.6  23.1 49.1  11.9 342   3.5 298.0 23.181468 120.378611  9.47     566    160
 180     2.8       836  920.3  23.1 49.7  12.1 342   3.6 298.0 23.181445 120.378622  9.59     568    160
 181     2.9       839  920.0  23.1 50.2  12.2 341   3.6 298.0 23.181413 120.378640  9.68     572    160
 182     2.7       841  919.7  23.1 50.3  12.2 341   3.6 298.0 23.181374 120.378662  9.70     577    160
 183     2.4       844  919.5  23.1 50.3  12.2 340   3.7 298.0 23.181331 120.378681  9.71     582    160
 184     1.9       846  919.2  23.1 50.4  12.2 340   3.7 298.0 23.181288 120.378694  9.72     587    160
 185     2.8       849  918.9  23.0 50.5  12.3 340   3.7 298.0 23.181248 120.378701  9.74     592    160
 186     2.8       851  918.7  23.0 50.6  12.3 339   3.8 297.9 23.181211 120.378705  9.75     596    160
 187     2.4       854  918.4  23.0 50.7  12.3 338   3.8 297.9 23.181175 120.378715  9.77     600    160
 188     2.4       856  918.1  23.0 50.9  12.3 338   3.9 297.9 23.181141 120.378732  9.79     604    160
 189     2.3       858  917.8  23.0 51.1  12.4 337   3.9 297.9 23.181108 120.378753  9.82     608    160
 190     3.3       862  917.6  23.0 51.2  12.4 337   3.9 297.9 23.181077 120.378775  9.84     612    160
 191     2.9       865  917.3  22.9 51.3  12.4 336   4.0 297.9 23.181043 120.378796  9.84     616    160
 192     2.3       867  917.0  22.9 51.3  12.4 336   4.0 297.8 23.181004 120.378817  9.84     621    160
 193     2.9       870  916.7  22.9 51.3  12.4 335   4.0 297.8 23.180961 120.378845  9.83     627    160
 194     2.5       872  916.5  22.9 51.4  12.4 335   4.1 297.8 23.180929 120.378876  9.83     631    160
 195     2.2       875  916.2  22.8 51.6  12.4 334   4.1 297.8 23.180915 120.378901  9.85     633    160
 196     2.3       877  916.0  22.8 51.7  12.4 334   4.2 297.8 23.180900 120.378918  9.86     636    160
 197     2.8       880  915.7  22.8 51.8  12.4 333   4.2 297.7 23.180875 120.378928  9.87     638    160
 198     2.4       882  915.4  22.8 51.8  12.4 333   4.2 297.7 23.180845 120.378933  9.88     642    160
 199     1.9       884  915.2  22.8 52.0  12.4 333   4.3 297.7 23.180813 120.378939  9.89     645    160
 200     2.9       887  914.9  22.7 52.2  12.5 332   4.3 297.7 23.180781 120.378949  9.92     649    160
 201     3.0       890  914.6  22.7 52.3  12.5 332   4.3 297.7 23.180751 120.378963  9.94     653    160
 202     2.6       892  914.3  22.7 52.5  12.5 332   4.3 297.6 23.180720 120.378981  9.96     656    160
 203     2.8       895  914.1  22.7 52.6  12.5 331   4.4 297.6 23.180688 120.379001  9.97     660    160
 204     2.7       898  913.8  22.7 52.7  12.5 331   4.4 297.6 23.180652 120.379021  9.98     665    160
