Sonde serial number                          	R2030028
Balloon release date and time                	2021-04-03T00:00:07
Sonde type                                   	RS41-SG

   n AscRate HeightMSL      P  Temp   RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C    %    °C   °   m/s     K         °          °  g/kg       m      °
  58     3.5       284  980.4  22.2 91.4  20.7  15   5.2 298.2 23.184202 120.375792 15.84     250    203
  59     3.8       288  980.0  22.2 91.5  20.7  15   5.3 298.2 23.184156 120.375769 15.85     256    203
  60     4.1       292  979.5  22.2 91.6  20.7  16   5.3 298.2 23.184109 120.375746 15.85     261    203
  61     4.0       296  979.0  22.1 91.6  20.7  16   5.4 298.1 23.184063 120.375726 15.82     267    203
  62     3.8       300  978.6  22.1 91.6  20.6  16   5.4 298.1 23.184016 120.375706 15.79     272    203
  63     3.4       303  978.2  22.0 91.8  20.6  16   5.5 298.0 23.183969 120.375686 15.77     278    203
  64     3.3       306  977.9  22.0 92.0  20.6  16   5.5 298.0 23.183923 120.375663 15.78     284    203
  65     3.4       310  977.5  21.9 92.3  20.6  17   5.5 297.9 23.183880 120.375640 15.80     289    203
  66     3.6       313  977.1  21.9 92.6  20.6  17   5.6 297.9 23.183837 120.375619 15.82     294    203
  67     3.6       317  976.7  21.9 92.6  20.6  17   5.6 297.8 23.183795 120.375600 15.79     299    203
  68     3.3       320  976.3  21.8 92.5  20.6  17   5.6 297.8 23.183749 120.375581 15.74     305    203
  69     2.8       323  975.9  21.8 92.3  20.5  16   5.6 297.8 23.183698 120.375560 15.70     311    203
  70     2.4       326  975.7  21.8 92.5  20.5  16   5.6 297.8 23.183644 120.375534 15.72     317    203
  71     2.2       328  975.5  21.8 93.0  20.6  16   5.5 297.7 23.183586 120.375504 15.77     324    203
  72     2.4       330  975.2  21.7 93.3  20.6  16   5.5 297.7 23.183527 120.375475 15.81     332    203
  73     2.5       333  974.9  21.7 93.5  20.6  15   5.5 297.7 23.183467 120.375451 15.83     339    203
  74     2.5       335  974.6  21.7 93.5  20.6  15   5.4 297.7 23.183411 120.375435 15.83     345    203
  75     2.4       338  974.4  21.7 93.5  20.6  14   5.4 297.7 23.183358 120.375427 15.81     351    203
  76     2.3       340  974.1  21.7 93.3  20.6  14   5.3 297.7 23.183307 120.375425 15.78     356    202
  77     2.2       342  973.9  21.7 93.1  20.5  13   5.3 297.7 23.183258 120.375420 15.74     361    202
