Sonde serial number                          	R2030460
Balloon release date and time                	2021-04-03T09:00:02
Sonde type                                   	RS41-SG

   n AscRate HeightMSL      P  Temp   RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C    %    °C   °   m/s     K         °          °  g/kg       m      °
   1     0.0        57 1004.1  28.6 51.7  17.7 220   1.4 304.1 23.188101 120.373802 12.76       0      0
   2     4.9        62 1003.6  28.4 61.3  20.3 315   1.5 304.3 23.186627 120.375681 14.99      32    231
   3     4.9        67 1003.0  28.3 61.4  20.2 328   2.2 304.2 23.186118 120.376317 14.97      43    227
   4     4.9        72 1002.5  28.2 62.1  20.3 331   2.6 304.1 23.185934 120.376534 15.02      48    224
   5     4.8        76 1001.9  27.8 62.7  20.1 332   2.8 303.7 23.185911 120.376548 14.86      49    221
   6     4.4        81 1001.4  27.7 63.1  20.0 331   2.9 303.5 23.185936 120.376513 14.79      48    219
   7     3.9        85 1001.0  27.6 63.1  20.0 332   3.0 303.5 23.185955 120.376494 14.79      47    216
   8     3.6        88 1000.6  27.6 63.1  20.0 332   3.2 303.5 23.185948 120.376506 14.78      47    212
   9     3.7        92 1000.2  27.6 63.1  20.0 332   3.4 303.5 23.185914 120.376543 14.76      49    206
  10     4.0        96  999.7  27.5 63.3  20.0 333   3.5 303.4 23.185871 120.376583 14.77      52    199
  11     4.4       100  999.2  27.4 63.5  19.9 333   3.7 303.3 23.185827 120.376610 14.74      56    195
  12     4.6       105  998.7  27.4 63.6  19.9 334   3.8 303.2 23.185785 120.376619 14.70      60    193
  13     4.8       110  998.2  27.4 63.5  19.9 334   4.0 303.2 23.185745 120.376618 14.69      64    192
  14     4.9       115  997.6  27.4 63.5  19.9 334   4.1 303.2 23.185703 120.376625 14.69      69    191
  15     5.0       120  997.0  27.3 63.7  19.8 335   4.3 303.1 23.185659 120.376647 14.67      73    188
  16     4.8       125  996.4  27.2 63.9  19.8 335   4.4 303.0 23.185615 120.376681 14.66      77    185
  17     4.6       129  996.0  27.1 64.0  19.8 336   4.5 303.0 23.185574 120.376715 14.64      82    182
  18     4.7       134  995.5  27.1 64.1  19.8 336   4.6 302.9 23.185539 120.376741 14.63      86    181
  19     5.3       139  994.9  27.1 64.2  19.7 336   4.7 302.9 23.185510 120.376755 14.63      89    180
