Sonde serial number                          	S2251157
Balloon release date and time                	2021-04-01T15:00:02
Sonde type                                   	RS41-SGP

   n AscRate HeightMSL      P  Temp   RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C    %    °C   °   m/s     K         °          °  g/kg       m      °
   1     0.0        57 1004.1  23.8 78.0  19.7 233   0.2 299.6 23.188101 120.373802 14.50       0      0
   2     5.7        65 1003.1  24.0 85.4  21.4  35   0.5 300.1 23.186993 120.375199 16.13      23    150
   3     6.8        72 1002.4  24.2 88.7  22.3  38   1.0 300.5 23.186225 120.376157 17.03      39    222
   4     5.3        77 1001.8  24.5 87.7  22.3  38   1.2 300.7 23.185940 120.376498 17.08      46    223
   5     5.7        83 1001.1  24.5 86.4  22.1  38   1.4 300.8 23.185884 120.376557 16.89      48    224
   6     6.1        89 1000.4  24.6 84.9  21.9  38   1.4 300.7 23.185911 120.376520 16.63      48    224
   7     6.1        95  999.8  24.7 83.3  21.6  38   1.5 300.8 23.185937 120.376474 16.40      48    224
   8     5.7       101  999.3  24.8 81.8  21.4  38   1.6 300.9 23.185936 120.376439 16.21      50    223
   9     4.6       106  998.7  24.8 80.8  21.3  38   1.7 300.9 23.185918 120.376416 16.08      53    223
  10     3.4       109  998.2  24.8 80.4  21.3  38   1.8 300.9 23.185894 120.376404 16.03      56    222
  11     4.6       114  997.6  24.8 80.5  21.3  38   1.8 300.9 23.185867 120.376399 16.05      58    220
  12     5.5       119  997.1  24.8 80.8  21.3  38   1.9 300.9 23.185838 120.376389 16.08      61    219
  13     4.8       124  996.5  24.8 80.9  21.3  38   2.0 300.8 23.185813 120.376364 16.07      65    219
  14     4.1       128  996.0  24.7 80.8  21.2  38   2.0 300.8 23.185795 120.376329 16.02      69    221
  15     4.6       133  995.4  24.7 80.8  21.2  38   2.0 300.7 23.185780 120.376293 15.99      73    222
  16     5.5       138  994.9  24.7 80.8  21.2  37   2.1 300.7 23.185762 120.376267 15.99      76    223
  17     5.4       143  994.4  24.7 80.7  21.2  37   2.1 300.7 23.185742 120.376253 16.00      79    222
  18     5.3       149  993.8  24.7 80.5  21.1  37   2.1 300.7 23.185720 120.376247 15.98      81    221
  19     4.3       153  993.3  24.7 80.3  21.1  36   2.1 300.7 23.185700 120.376241 15.95      83    221
  20     3.4       156  992.8  24.7 80.1  21.1  36   2.1 300.7 23.185682 120.376229 15.92      85    220
  21     3.8       160  992.3  24.7 80.2  21.1  35   2.1 300.7 23.185672 120.376213 15.94      87    221
  22     4.7       165  991.8  24.7 80.4  21.1  35   2.1 300.7 23.185669 120.376196 15.98      89    221
  23     5.4       170  991.3  24.7 80.5  21.1  34   2.0 300.7 23.185665 120.376179 16.00      90    222
  24     5.0       175  990.7  24.7 80.3  21.1  33   2.0 300.7 23.185655 120.376160 15.98      92    223
  25     4.5       180  990.2  24.7 80.2  21.0  32   2.0 300.7 23.185637 120.376141 15.95      95    223
  26     4.4       184  989.7  24.7 80.2  21.0  31   1.9 300.7 23.185613 120.376128 15.96      98    222
  27     4.9       189  989.2  24.7 80.3  21.1  29   1.8 300.7 23.185586 120.376126 15.99     100    221
  28     4.5       194  988.6  24.7 80.5  21.1  28   1.8 300.7 23.185559 120.376132 16.04     102    220
  29     4.8       198  988.1  24.7 80.6  21.1  26   1.7 300.7 23.185538 120.376134 16.07     104    219
  30     5.0       203  987.6  24.7 80.6  21.1  24   1.6 300.8 23.185528 120.376124 16.10     105    219
  31     4.0       207  987.0  24.7 80.7  21.2  22   1.6 300.8 23.185531 120.376101 16.15     107    220
  32     4.5       212  986.5  24.7 80.9  21.2  19   1.5 300.8 23.185539 120.376072 16.21     108    221
  33     5.1       217  986.0  24.8 80.9  21.3  17   1.4 300.9 23.185540 120.376049 16.27     109    222
  34     5.7       223  985.4  24.8 80.8  21.3  14   1.4 300.9 23.185526 120.376036 16.30     111    222
  35     5.3       228  984.8  24.8 80.8  21.3  10   1.3 300.9 23.185498 120.376036 16.31     114    221
  36     4.7       233  984.3  24.8 80.8  21.3   7   1.2 300.9 23.185462 120.376044 16.32     116    220
  37     4.8       237  983.7  24.8 80.8  21.3   3   1.2 300.9 23.185431 120.376054 16.30     118    218
  38     4.7       242  983.2  24.8 80.8  21.2 359   1.1 300.9 23.185414 120.376059 16.27     119    217
  39     4.9       247  982.6  24.7 80.9  21.2 354   1.1 300.8 23.185412 120.376061 16.27     119    217
  40     5.1       252  982.1  24.7 81.2  21.3 350   1.0 300.8 23.185421 120.376063 16.30     118    218
