Sonde serial number                          	R2030542
Balloon release date and time                	2021-04-02T21:00:01
Sonde type                                   	RS41-SG

   n AscRate HeightMSL      P  Temp    RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C     %    °C   °   m/s     K         °          °  g/kg       m      °
  58     5.1       333  973.8  21.5  97.9  21.1   6   6.2 297.5 23.183817 120.376267 16.36     278    190
  59     4.8       338  973.3  21.4  97.9  21.1   6   6.2 297.5 23.183761 120.376258 16.34     284    190
  60     4.6       343  972.8  21.4  97.9  21.1   6   6.2 297.5 23.183707 120.376248 16.32     290    190
  61     4.6       347  972.3  21.4  98.0  21.0   6   6.1 297.5 23.183654 120.376240 16.32     296    190
  62     4.9       352  971.7  21.3  98.2  21.1   6   6.1 297.4 23.183600 120.376234 16.34     302    190
  63     5.2       358  971.1  21.3  98.7  21.1   6   6.1 297.4 23.183544 120.376233 16.37     308    190
  64     5.2       363  970.5  21.2  99.0  21.1   6   6.1 297.3 23.183490 120.376235 16.38     314    190
  65     4.9       368  970.0  21.2  99.1  21.0   6   6.1 297.3 23.183436 120.376236 16.37     320    190
  66     4.7       372  969.5  21.2  99.1  21.0   6   6.1 297.3 23.183381 120.376235 16.35     326    189
  67     4.6       377  969.0  21.1  99.1  21.0   7   6.0 297.2 23.183323 120.376230 16.33     332    189
  68     4.7       382  968.5  21.1  99.1  21.0   7   6.0 297.2 23.183264 120.376222 16.31     339    189
  69     4.9       386  967.9  21.1  99.1  20.9   7   6.0 297.1 23.183204 120.376212 16.29     346    189
  70     5.1       392  967.3  21.0  99.2  20.9   8   6.0 297.1 23.183146 120.376202 16.27     352    189
  71     5.0       397  966.7  21.0  99.2  20.9   8   6.0 297.1 23.183092 120.376194 16.26     358    189
  72     4.7       401  966.2  21.0  99.3  20.9   8   6.0 297.1 23.183039 120.376189 16.26     364    189
  73     4.6       406  965.8  21.0  99.4  20.9   9   6.0 297.0 23.182988 120.376188 16.26     370    189
  74     4.7       411  965.2  20.9  99.5  20.8   9   5.9 297.0 23.182938 120.376188 16.25     375    189
  75     4.7       415  964.6  20.9  99.6  20.8   9   5.9 297.0 23.182892 120.376189 16.25     380    189
  76     4.6       420  964.2  20.9  99.7  20.8  10   5.9 296.9 23.182847 120.376188 16.24     385    189
  77     4.5       424  963.7  20.8  99.8  20.8  10   5.9 296.9 23.182803 120.376180 16.22     390    189
  78     4.6       429  963.2  20.8  99.9  20.8  11   5.9 296.9 23.182758 120.376164 16.22     395    189
  79     4.7       434  962.6  20.8 100.0  20.8  11   5.9 296.8 23.182711 120.376141 16.24     401    189
  80     4.8       438  962.1  20.8 100.0  20.8  12   5.9 296.8 23.182663 120.376114 16.23     406    189
  81     4.8       443  961.6  20.8  99.9  20.7  12   5.9 296.8 23.182612 120.376086 16.21     413    190
  82     4.8       448  961.1  20.7  99.8  20.7  12   5.9 296.8 23.182557 120.376060 16.18     419    190
