Sonde serial number                          	R2030461
Balloon release date and time                	2021-04-03T12:00:03
Sonde type                                   	RS41-SG

   n AscRate HeightMSL      P  Temp    RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C     %    °C   °   m/s     K         °          °  g/kg       m      °
   1     0.0        57 1006.1  25.5  64.4  18.3 322   1.8 301.1 23.188101 120.373802 13.19       0      0
   2     3.0        61 1005.7  25.6  71.5  20.0 331   1.5 301.4 23.187005 120.375210 14.76      23    156
   3     4.7        66 1005.1  25.5  75.2  20.8 340   1.4 301.5 23.186262 120.376162 15.48      38    227
   4     5.1        71 1004.5  25.4  75.9  20.8 344   1.5 301.3 23.185985 120.376506 15.49      44    226
   5     5.0        76 1003.9  25.2  76.4  20.8 346   1.6 301.2 23.185919 120.376564 15.48      47    226
   6     4.7        81 1003.4  25.1  76.7  20.7 346   1.8 301.1 23.185916 120.376529 15.44      49    223
   7     4.6        85 1002.9  25.0  76.7  20.7 347   1.9 301.0 23.185904 120.376507 15.40      51    218
   8     4.6        90 1002.4  25.0  76.7  20.6 348   2.1 300.9 23.185875 120.376522 15.36      53    211
   9     4.8        95 1001.8  24.9  76.7  20.6 349   2.3 300.9 23.185846 120.376550 15.31      54    206
  10     4.7        99 1001.3  24.9  76.6  20.5 349   2.5 300.8 23.185830 120.376567 15.29      55    203
  11     4.3       104 1000.7  24.9  76.7  20.5 350   2.7 300.8 23.185825 120.376566 15.29      56    203
  12     3.7       107 1000.3  24.9  76.9  20.6 351   2.9 300.8 23.185823 120.376563 15.31      56    203
  13     3.3       111 1000.0  24.8  77.0  20.6 352   3.1 300.8 23.185819 120.376573 15.31      56    202
  14     3.5       114  999.7  24.8  77.0  20.5 352   3.3 300.7 23.185816 120.376594 15.29      56    200
  15     4.2       118  999.2  24.8  77.1  20.5 353   3.5 300.7 23.185816 120.376613 15.29      55    198
  16     4.8       123  998.6  24.7  77.3  20.5 353   3.7 300.7 23.185816 120.376616 15.28      55    198
  17     5.0       128  998.0  24.6  77.6  20.5 354   4.0 300.6 23.185806 120.376602 15.27      56    199
  18     4.7       133  997.5  24.6  77.9  20.5 354   4.2 300.5 23.185776 120.376577 15.26      60    200
  19     4.6       137  997.0  24.5  78.1  20.5 354   4.4 300.4 23.185725 120.376553 15.27      66    201
  20     4.7       142  996.4  24.5  78.5  20.5 354   4.7 300.4 23.185664 120.376538 15.31      73    200
  21     4.9       147  995.9  24.4  78.8  20.5 355   4.9 300.4 23.185608 120.376541 15.34      79    198
  22     5.2       152  995.3  24.4  78.9  20.5 355   5.1 300.3 23.185563 120.376560 15.33      83    196
  23     5.3       158  994.7  24.3  79.0  20.5 355   5.3 300.2 23.185523 120.376584 15.31      87    193
  24     5.2       163  994.0  24.3  79.1  20.4 355   5.5 300.2 23.185474 120.376600 15.28      92    192
  25     4.8       168  993.5  24.2  79.2  20.4 355   5.7 300.1 23.185409 120.376599 15.26      99    191
  26     4.3       172  993.1  24.2  79.4  20.4 356   5.8 300.1 23.185330 120.376590 15.26     108    190
  27     4.3       176  992.6  24.1  79.5  20.4 356   6.0 300.0 23.185247 120.376584 15.25     117    190
  28     4.9       181  992.1  24.1  79.6  20.3 356   6.1 300.0 23.185171 120.376592 15.23     125    189
  29     5.6       187  991.4  24.0  80.0  20.4 356   6.2 299.9 23.185103 120.376611 15.27     132    188
  30     6.1       193  990.7  24.0  80.5  20.4 356   6.3 299.9 23.185039 120.376631 15.34     139    186
  31     6.2       199  990.0  23.9  80.8  20.4 357   6.4 299.8 23.184974 120.376641 15.35     146    186
  32     5.8       205  989.3  23.8  80.9  20.4 357   6.4 299.8 23.184902 120.376635 15.31     154    186
  33     5.2       210  988.7  23.8  80.9  20.3 357   6.5 299.7 23.184821 120.376621 15.27     163    186
  34     4.8       215  988.2  23.7  81.1  20.3 358   6.5 299.7 23.184733 120.376611 15.27     173    186
  35     4.8       220  987.7  23.7  81.2  20.3 358   6.5 299.6 23.184644 120.376614 15.27     183    185
  36     5.0       225  987.1  23.6  81.5  20.3 359   6.5 299.6 23.184561 120.376634 15.28     192    184
  37     5.3       230  986.5  23.6  81.8  20.3 359   6.5 299.5 23.184487 120.376668 15.30     200    183
  38     5.6       236  985.9  23.5  82.1  20.3   0   6.4 299.5 23.184421 120.376706 15.31     207    182
