Sonde serial number                          	R2030536
Balloon release date and time                	2021-04-02T09:21:07
Sonde type                                   	RS41-SG

   n AscRate HeightMSL      P  Temp   RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C    %    °C   °   m/s     K         °          °  g/kg       m      °
   1     0.0        57 1003.1  29.7 49.7  18.1 294   2.2 305.3 23.188101 120.373802 13.11       0      0
   2     4.6        61 1002.5  28.8 60.7  20.5 295   1.8 304.8 23.186691 120.375640 15.23      32    241
   3     3.3        65 1002.2  28.7 60.7  20.4 296   1.7 304.7 23.186187 120.376302 15.18      42    239
   4     3.3        68 1001.9  28.7 61.1  20.5 297   1.8 304.6 23.186015 120.376539 15.23      44    236
   5     3.5        72 1001.5  28.5 61.4  20.3 297   1.9 304.4 23.186004 120.376575 15.11      41    232
   6     3.9        75 1001.0  28.3 61.5  20.3 297   2.1 304.3 23.186039 120.376565 15.05      38    227
   7     3.9        79 1000.5  28.3 61.5  20.3 298   2.2 304.3 23.186065 120.376564 15.05      35    222
   8     3.8        83 1000.1  28.4 61.3  20.3 298   2.3 304.3 23.186067 120.376576 15.06      33    217
   9     3.8        87  999.7  28.4 61.1  20.2 299   2.4 304.3 23.186051 120.376588 15.02      34    214
  10     4.1        91  999.3  28.4 61.2  20.2 299   2.5 304.3 23.186033 120.376595 15.03      35    211
  11     4.5        95  998.8  28.3 61.4  20.2 299   2.6 304.2 23.186016 120.376613 15.01      36    207
  12     4.8       100  998.2  28.2 61.6  20.1 300   2.7 304.1 23.185996 120.376646 14.96      37    201
  13     4.7       105  997.7  28.1 61.7  20.1 300   2.8 304.0 23.185967 120.376689 14.93      39    193
  14     4.5       110  997.2  28.1 61.8  20.1 300   2.9 304.0 23.185932 120.376730 14.92      42    186
  15     4.3       114  996.7  28.0 61.9  20.1 301   3.0 303.9 23.185898 120.376765 14.93      45    181
  16     4.3       118  996.2  28.0 62.1  20.1 301   3.1 303.8 23.185874 120.376789 14.92      48    178
  17     4.2       122  995.8  27.8 62.4  20.0 301   3.2 303.7 23.185862 120.376805 14.88      49    176
  18     4.3       127  995.3  27.8 62.6  20.0 302   3.2 303.6 23.185861 120.376815 14.87      50    175
  19     4.3       131  994.8  27.7 62.8  20.0 302   3.3 303.6 23.185859 120.376830 14.90      50    174
  20     4.3       135  994.3  27.7 63.0  20.0 302   3.4 303.6 23.185852 120.376858 14.92      51    170
  21     4.2       140  993.8  27.7 63.1  20.0 302   3.4 303.6 23.185840 120.376901 14.92      53    166
  22     4.0       144  993.4  27.6 63.2  20.0 303   3.5 303.5 23.185827 120.376950 14.91      56    161
  23     3.9       147  993.0  27.6 63.3  20.0 303   3.5 303.4 23.185814 120.376992 14.90      59    158
  24     3.8       151  992.5  27.5 63.5  20.0 303   3.6 303.4 23.185796 120.377017 14.88      62    156
  25     3.8       155  992.1  27.4 63.8  20.0 303   3.6 303.3 23.185770 120.377031 14.88      65    156
  26     3.7       159  991.7  27.4 64.1  20.0 303   3.6 303.2 23.185740 120.377047 14.91      69    156
  27     3.6       162  991.3  27.3 64.4  20.0 303   3.7 303.2 23.185712 120.377073 14.96      73    155
  28     3.5       166  990.9  27.3 64.5  20.0 303   3.7 303.2 23.185694 120.377110 14.96      76    153
  29     3.5       169  990.5  27.2 64.6  20.0 303   3.8 303.1 23.185687 120.377149 14.96      79    151
  30     3.4       173  990.1  27.2 64.8  20.0 303   3.8 303.1 23.185683 120.377180 14.96      81    149
  31     3.3       176  989.8  27.2 64.8  20.0 303   3.8 303.0 23.185670 120.377202 14.93      83    148
  32     3.0       179  989.4  27.1 64.7  20.0 303   3.9 303.0 23.185643 120.377222 14.91      87    148
  33     2.8       182  989.1  27.1 64.8  19.9 303   3.9 303.0 23.185606 120.377244 14.90      91    148
  34     2.6       184  988.8  27.1 64.9  19.9 303   3.9 303.0 23.185571 120.377272 14.91      96    148
  35     2.6       187  988.5  27.0 65.1  20.0 303   4.0 302.9 23.185547 120.377303 14.92     100    147
  36     2.8       190  988.2  27.0 65.2  20.0 303   4.0 302.9 23.185535 120.377335 14.93     103    146
  37     2.9       193  987.9  27.0 65.3  20.0 303   4.0 302.9 23.185525 120.377370 14.93     106    145
  38     3.0       196  987.5  27.0 65.4  20.0 303   4.1 302.8 23.185511 120.377407 14.94     109    144
  39     3.0       199  987.2  26.9 65.5  20.0 304   4.1 302.8 23.185495 120.377447 14.94     113    143
  40     3.0       202  986.9  26.9 65.6  20.0 304   4.1 302.8 23.185478 120.377486 14.95     117    142
