Sonde serial number                          	S2251087
Balloon release date and time                	2021-04-01T12:00:01
Sonde type                                   	RS41-SGP

   n AscRate HeightMSL      P Temp   RH Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa   °C    %   °C   °   m/s     K         °          °  g/kg       m      °
  58     5.3       327  972.0 24.1 84.4 21.4 266   1.0 300.3 23.185815 120.376877 16.60      54    168
  59     4.5       331  971.4 24.1 84.8 21.4 265   1.0 300.3 23.185819 120.376893 16.64      54    166
  60     4.8       336  970.9 24.1 84.9 21.4 263   1.0 300.2 23.185824 120.376909 16.64      54    164
  61     4.5       341  970.3 24.0 85.0 21.4 262   1.0 300.2 23.185828 120.376921 16.63      54    163
  62     5.0       346  969.8 24.0 85.1 21.4 261   1.0 300.2 23.185831 120.376927 16.63      54    162
  63     4.8       350  969.2 24.0 85.2 21.3 260   1.0 300.1 23.185834 120.376928 16.61      54    162
  64     5.2       356  968.7 23.9 85.3 21.3 259   1.0 300.1 23.185836 120.376926 16.59      53    162
  65     5.7       361  968.2 23.9 85.3 21.3 258   1.0 300.0 23.185837 120.376923 16.56      53    162
  66     4.8       366  967.6 23.8 85.3 21.2 257   1.0 300.0 23.185838 120.376923 16.54      53    162
  67     4.0       370  967.1 23.8 85.3 21.2 256   1.0 299.9 23.185839 120.376928 16.52      53    162
  68     4.5       375  966.6 23.8 85.4 21.2 255   1.1 299.9 23.185842 120.376940 16.50      53    160
  69     5.1       380  966.0 23.7 85.4 21.1 255   1.1 299.9 23.185846 120.376958 16.48      54    158
  70     4.9       385  965.5 23.7 85.4 21.1 254   1.1 299.8 23.185851 120.376976 16.45      54    156
  71     5.0       390  965.0 23.7 85.3 21.1 253   1.1 299.8 23.185855 120.376990 16.42      54    155
  72     4.9       394  964.5 23.6 85.3 21.0 253   1.1 299.7 23.185861 120.377002 16.39      54    153
  73     4.7       399  963.9 23.6 85.5 21.0 252   1.1 299.7 23.185866 120.377010 16.40      54    152
  74     4.3       403  963.4 23.5 85.9 21.1 251   1.1 299.7 23.185869 120.377017 16.43      54    151
  75     4.4       408  962.9 23.5 86.2 21.1 251   1.1 299.6 23.185871 120.377027 16.45      54    150
  76     5.5       413  962.4 23.4 86.4 21.1 250   1.1 299.6 23.185870 120.377039 16.46      55    149
