Sonde serial number                          	S2251154
Balloon release date and time                	2021-04-01T10:00:01
Sonde type                                   	RS41-SGP

   n AscRate HeightMSL      P  Temp   RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C    %    °C   °   m/s     K         °          °  g/kg       m      °
  58     5.0       364  966.9  24.6 79.7  20.9 281   2.3 300.7 23.185850 120.377446 16.15      92    128
  59     5.0       369  966.3  24.5 79.8  20.8 281   2.3 300.6 23.185863 120.377437 16.13      90    128
  60     5.7       374  965.7  24.5 79.9  20.8 280   2.3 300.5 23.185870 120.377455 16.11      91    127
  61     5.5       380  965.1  24.4 80.2  20.8 280   2.3 300.5 23.185869 120.377498 16.13      95    125
  62     7.2       387  964.5  24.4 80.6  20.8 279   2.3 300.5 23.185855 120.377558 16.17     101    124
  63     4.5       391  963.9  24.3 80.7  20.8 279   2.3 300.4 23.185835 120.377622 16.15     108    123
  64     4.9       396  963.3  24.3 80.8  20.8 278   2.3 300.4 23.185818 120.377682 16.14     114    122
  65     5.7       402  962.7  24.2 80.9  20.7 277   2.3 300.3 23.185812 120.377733 16.12     119    121
  66     6.5       409  962.0  24.1 81.0  20.7 276   2.3 300.2 23.185813 120.377770 16.08     122    120
  67     5.7       414  961.4  24.1 81.1  20.7 276   2.2 300.2 23.185815 120.377788 16.06     123    119
  68     6.8       421  960.7  24.1 81.2  20.7 275   2.2 300.1 23.185817 120.377787 16.06     123    119
  69     5.2       426  960.1  24.0 81.5  20.7 274   2.2 300.1 23.185821 120.377778 16.07     122    119
  70     6.7       433  959.4  24.0 81.7  20.6 274   2.2 300.0 23.185829 120.377775 16.07     121    119
  71     6.0       439  958.8  23.9 81.8  20.6 273   2.1 300.0 23.185838 120.377788 16.06     122    118
  72     6.2       445  958.2  23.8 81.9  20.6 272   2.1 299.9 23.185844 120.377818 16.03     124    117
  73     5.2       450  957.5  23.8 82.0  20.6 271   2.1 299.8 23.185845 120.377855 16.01     128    117
  74     4.7       455  956.9  23.7 82.3  20.5 270   2.0 299.8 23.185841 120.377886 16.02     131    116
  75     5.7       461  956.3  23.7 82.7  20.6 269   2.0 299.7 23.185839 120.377905 16.06     133    116
  76     5.4       466  955.7  23.6 83.1  20.6 268   1.9 299.7 23.185842 120.377914 16.09     133    116
  77     5.5       472  955.1  23.6 83.4  20.6 267   1.9 299.6 23.185850 120.377920 16.11     134    115
  78     4.9       477  954.5  23.5 83.6  20.6 266   1.8 299.6 23.185855 120.377930 16.12     134    115
  79     6.4       483  953.8  23.5 83.8  20.6 265   1.8 299.5 23.185850 120.377945 16.12     136    115
  80     6.9       490  953.2  23.4 84.0  20.6 263   1.7 299.5 23.185833 120.377963 16.13     138    115
  81     6.3       496  952.5  23.4 84.1  20.6 262   1.7 299.4 23.185812 120.377981 16.12     141    116
  82     5.3       501  951.9  23.3 84.2  20.5 260   1.6 299.4 23.185797 120.377998 16.07     143    116
  83     5.8       507  951.2  23.3 84.2  20.5 258   1.6 299.3 23.185797 120.378018 16.03     145    116
  84     6.7       514  950.6  23.2 84.3  20.4 257   1.5 299.3 23.185815 120.378045 16.01     147    114
  85     6.2       520  949.9  23.2 84.4  20.4 255   1.5 299.2 23.185845 120.378075 15.99     148    113
  86     5.7       526  949.3  23.1 84.2  20.3 253   1.5 299.1 23.185874 120.378102 15.93     150    111
  87     5.0       531  948.6  23.1 83.9  20.2 251   1.4 299.1 23.185892 120.378122 15.86     151    110
  88     5.4       536  948.0  23.1 83.9  20.2 249   1.4 299.1 23.185893 120.378136 15.83     152    110
  89     7.7       544  947.3  23.0 83.8  20.1 247   1.4 299.0 23.185879 120.378147 15.79     154    110
  90     6.8       551  946.7  23.0 83.6  20.1 244   1.4 299.0 23.185860 120.378156 15.74     155    111
  91     5.5       556  946.0  23.0 83.5  20.0 242   1.4 298.9 23.185848 120.378158 15.69     156    111
  92     6.3       563  945.4  22.9 83.5  20.0 240   1.4 298.9 23.185848 120.378150 15.66     155    112
  93     5.9       569  944.7  22.9 83.5  19.9 238   1.3 298.9 23.185860 120.378134 15.64     153    111
  94     4.3       573  944.1  22.9 83.4  19.9 236   1.3 298.8 23.185883 120.378120 15.61     151    111
  95     6.7       579  943.5  22.8 83.4  19.9 234   1.4 298.8 23.185913 120.378116 15.61     149    109
  96     6.0       585  942.9  22.8 83.5  19.9 232   1.4 298.8 23.185941 120.378125 15.59     149    108
  97     4.7       590  942.3  22.7 83.6  19.8 230   1.4 298.7 23.185962 120.378143 15.57     150    107
  98     4.7       595  941.7  22.7 83.8  19.8 229   1.4 298.7 23.185970 120.378162 15.58     152    107
  99     5.7       601  941.1  22.7 84.1  19.9 228   1.4 298.6 23.185969 120.378177 15.61     153    106
 100     5.8       606  940.5  22.6 84.5  19.9 226   1.4 298.6 23.185965 120.378187 15.63     155    107
 101     6.0       612  939.9  22.6 84.6  19.8 225   1.5 298.5 23.185963 120.378197 15.62     156    107
 102     5.8       618  939.3  22.5 84.9  19.8 224   1.5 298.5 23.185967 120.378208 15.63     157    106
 103     6.0       624  938.7  22.5 85.2  19.8 223   1.5 298.4 23.185975 120.378220 15.65     158    106
 104     4.3       628  938.1  22.4 85.3  19.8 222   1.5 298.4 23.185987 120.378230 15.65     158    105
 105     6.2       634  937.5  22.4 85.3  19.8 221   1.6 298.4 23.186003 120.378235 15.65     158    105
 106     6.8       641  936.9  22.4 85.4  19.8 221   1.6 298.3 23.186023 120.378238 15.65     158    104
 107     5.1       646  936.3  22.4 85.2  19.8 220   1.6 298.3 23.186045 120.378244 15.61     158    103
 108     4.9       651  935.7  22.3 85.0  19.7 219   1.7 298.3 23.186061 120.378257 15.57     159    102
 109     7.1       658  935.1  22.3 84.7  19.7 219   1.7 298.3 23.186069 120.378280 15.53     161    102
 110     5.6       664  934.4  22.4 84.0  19.5 218   1.8 298.3 23.186068 120.378305 15.41     164    102
