100,200,300,400,500,600,700,800,900,1000
Time,Temp.,Humin.,Pressure.,Az,H1_u,H1_v,H1_w,H1_ws,H1_wd,H2_u,H2_v,H2_w,H2_ws,H2_wd,H3_u,H3_v,H3_w,H3_ws,H3_wd,H4_u,H4_v,H4_w,H4_ws,H4_wd,H5_u,H5_v,H5_w,H5_ws,H5_wd,H6_u,H6_v,H6_w,H6_ws,H6_wd,H7_u,H7_v,H7_w,H7_ws,H7_wd,H8_u,H8_v,H8_w,H8_ws,H8_wd,H9_u,H9_v,H9_w,H9_ws,H9_wd,H10_u,H10_v,H10_w,H10_ws,H10_wd
20201120_09:00:00.25,99.9,99.9,999.9,001,0.00,0.18,0.32,0.37,0.00,0.37,0.37,0.29,0.59,45.00,0.00,-0.37,0.24,0.44,180.00,0.00,0.37,0.34,0.50,0.00,0.37,0.73,0.64,1.04,26.57,0.00,2.19,0.69,2.30,0.00,-0.37,0.55,0.42,0.78,326.31,0.00,0.37,0.44,0.57,0.00,0.00,0.00,0.39,0.39,0.00,0.00,13.16,2.15,13.33,0.00
20201120_09:00:00.78,99.9,99.9,999.9,001,-0.37,0.18,0.27,0.49,296.57,0.37,-0.37,0.20,0.55,135.00,0.00,0.00,0.29,0.29,0.00,-0.37,0.37,0.29,0.59,315.00,0.37,0.73,0.64,1.04,26.57,0.00,2.19,0.69,2.30,0.00,0.00,0.55,0.47,0.72,0.00,0.00,0.37,0.44,0.57,0.00,0.00,0.00,0.39,0.39,0.00,0.00,13.16,2.15,13.33,0.00
20201120_09:00:01.31,99.9,99.9,999.9,001,0.37,-0.18,0.32,0.52,116.57,0.37,-1.10,0.10,1.16,161.57,0.00,0.00,0.20,0.20,0.00,0.00,0.37,0.34,0.50,0.00,0.37,0.73,0.64,1.04,26.57,0.00,2.19,0.69,2.30,0.00,0.00,0.91,0.51,1.05,0.00,0.00,0.37,0.44,0.57,0.00,0.00,0.00,0.39,0.39,0.00,0.00,13.16,2.15,13.33,0.00
20201120_09:00:01.83,99.9,99.9,999.9,001,0.37,0.18,0.27,0.49,63.43,0.37,0.73,0.34,0.89,26.57,0.00,0.37,0.24,0.44,0.00,0.00,0.37,0.34,0.50,0.00,0.37,0.73,0.64,1.04,26.57,0.00,2.19,0.69,2.30,0.00,0.00,0.91,0.51,1.05,0.00,0.00,0.37,0.44,0.57,0.00,0.00,0.00,0.39,0.39,0.00,0.00,13.16,2.15,13.33,0.00
20201120_09:00:02.36,99.9,99.9,999.9,001,0.37,-0.18,0.32,0.52,116.57,0.37,0.37,0.29,0.59,45.00,0.00,0.37,0.24,0.44,0.00,-0.37,0.37,0.29,0.59,315.00,0.37,0.37,0.59,0.78,45.00,0.00,1.64,0.61,1.76,0.00,-0.37,0.73,0.44,0.93,333.43,0.00,-0.73,0.29,0.79,180.00,0.00,1.10,0.54,1.22,0.00,0.00,6.58,1.27,6.70,0.00
20201120_09:00:02.89,99.9,99.9,999.9,001,0.00,-0.37,0.24,0.44,180.00,0.37,0.37,0.29,0.59,45.00,0.00,0.37,0.24,0.44,0.00,0.00,0.00,0.29,0.29,0.00,0.37,0.00,0.54,0.65,90.00,0.00,1.10,0.54,1.22,0.00,-0.37,0.73,0.44,0.93,333.43,0.00,-0.37,0.34,0.50,180.00,0.00,0.55,0.47,0.72,0.00,0.00,0.00,0.39,0.39,0.00
20201120_09:00:03.42,99.9,99.9,999.9,001,0.00,0.00,0.29,0.29,0.00,0.37,0.00,0.24,0.44,90.00,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.29,0.29,0.00,0.00,0.00,0.49,0.49,0.00,0.00,1.10,0.54,1.22,0.00,-0.37,0.00,0.34,0.50,270.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00
20201120_09:00:03.94,99.9,99.9,999.9,001,0.37,0.00,0.34,0.50,90.00,0.37,0.37,0.29,0.59,45.00,0.37,0.00,0.24,0.44,90.00,0.00,0.00,0.29,0.29,0.00,-0.37,0.00,0.54,0.65,270.00,0.00,0.00,0.39,0.39,0.00,-0.37,0.00,0.34,0.50,270.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.00,-0.37,0.44,0.57,180.00
20201120_09:00:04.47,99.9,99.9,999.9,001,0.73,0.00,0.29,0.79,90.00,0.37,0.00,0.24,0.44,90.00,0.37,0.00,0.24,0.44,90.00,0.00,0.00,0.29,0.29,0.00,-0.37,0.00,0.54,0.65,270.00,0.00,0.00,0.39,0.39,0.00,0.00,0.37,0.34,0.50,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00
20201120_09:00:05.00,99.9,99.9,999.9,001,0.73,0.00,0.29,0.79,90.00,0.37,0.37,0.29,0.59,45.00,0.37,-0.37,0.29,0.59,135.00,0.00,0.00,0.29,0.29,0.00,-0.37,-0.37,0.59,0.78,225.00,0.00,0.00,0.39,0.39,0.00,0.00,0.73,0.39,0.83,0.00,0.00,0.18,0.37,0.41,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00
