Time,NodeID,PacketID,Temperature(degree C),Humidity(%),Pressure(hPa),Voltage(V),RSSI,Lat,Lon,Height(m),Distance(km),Sat,SNR,Speed(km/hr),Direction(degree),angle(degree)
2021/04/03 03:46:55.000000,146,2,25.25,86.9,1006.184218,1.5032258064516129,-79.0,23.18596,120.37668,74.1,235.35078551884402,4,9,0.3,0.0,0.018039528154836445
2021/04/03 03:46:56.000000,146,3,25.23,87.0,1006.173281,1.4946236559139785,-82.0,23.18597,120.37666,74.92,235.35083979939597,4,10,0.35,0.0,0.018239151641781245
2021/04/03 03:46:57.000000,146,4,25.21,87.1,1006.1875,1.4946236559139785,-86.0,23.18597,120.37667,74.74,235.3503300415372,4,9,0.32,0.0,0.018195370348941413
2021/04/03 03:46:58.000000,146,5,25.19,87.2,1006.202031,1.4946236559139785,-83.0,23.18597,120.37666,73.72,235.35083979939597,4,9,0.45,0.0,0.017947013620867657
2021/04/03 03:46:59.000000,146,6,25.17,87.3,1006.207031,1.5032258064516129,-84.0,23.18596,120.37668,76.77,235.35078551884402,6,9,0.08,0.0,0.018689535399319643
2021/04/03 03:47:00.000000,146,7,25.15,87.4,1006.202031,1.5032258064516129,-78.0,23.18596,120.37668,76.05,235.35078551884402,6,9,0.03,0.0,0.018514252547341497
2021/04/03 03:47:01.000000,146,8,25.14,87.5,1006.164921,1.4946236559139785,-78.0,23.18596,120.37668,76.66,235.35078551884402,6,9,0.07,0.0,0.01866275607473443
2021/04/03 03:47:02.000000,146,9,25.11,87.5,1006.174921,1.4946236559139785,-80.0,23.18596,120.37668,76.52,235.35078551884402,6,9,0.32,0.0,0.01862867329797782
2021/04/03 03:47:03.000000,146,10,25.1,87.6,1006.180468,1.5053763440860215,-83.0,23.18596,120.37668,76.63,235.35078551884402,6,9,0.08,0.0,0.01865545262257341
2021/04/03 03:47:04.000000,146,11,25.09,87.7,1006.175937,1.5053763440860215,-78.0,23.18596,120.37668,76.78,235.35078551884402,6,9,0.43,0.0,0.018691969883372444
2021/04/03 03:47:05.000000,146,12,25.08,87.9,1006.1521090000001,1.4967741935483871,-73.0,23.18596,120.37668,77.0,235.35078551884402,6,9,0.17,0.0,0.018745528532516875
2021/04/03 03:47:06.000000,146,13,25.06,88.1,1006.208828,1.4967741935483871,-71.0,23.18596,120.37668,76.88,235.35078551884402,6,9,0.55,0.0,0.01871631472389669
2021/04/03 03:47:07.000000,146,14,25.06,88.4,1006.173125,1.4967741935483871,-71.0,23.18596,120.37668,77.14,235.35078551884402,6,9,0.34,0.0,0.0187796113092281
2021/04/03 03:47:08.000000,146,15,25.06,88.5,1006.169218,1.4967741935483871,-71.0,23.18596,120.37668,77.06,235.35078551884402,6,10,2.69,0.0,0.01876013543682331
2021/04/03 03:47:09.000000,146,16,25.05,88.4,1006.15164,1.5075268817204301,-73.0,23.18595,120.37668,76.58,235.35175075203276,6,9,0.19,0.0,0.018643203741807994
2021/04/03 03:47:10.000000,146,17,25.04,88.4,1006.168125,1.4946236559139785,-77.0,23.18596,120.37668,76.6,235.35078551884402,6,9,2.04,0.0,0.018648149170411785
2021/04/03 03:47:11.000000,146,18,25.04,88.4,1006.16375,1.4924731182795699,-87.0,23.18596,120.37668,76.58,235.35078551884402,6,9,1.38,0.0,0.0186432802023037
2021/04/03 03:47:12.000000,146,19,25.01,88.4,1006.178125,1.4946236559139785,-74.0,23.18596,120.37668,76.8,235.35078551884402,6,10,0.84,0.0,0.018696838851477833
2021/04/03 03:47:13.000000,146,20,25.0,88.5,1006.1554679999999,1.4946236559139785,-81.0,23.18596,120.37668,77.46,235.35078551884402,6,9,1.81,0.0,0.018857514798803807
2021/04/03 03:47:14.000000,146,21,24.98,88.6,1006.1504679999999,1.5032258064516129,-80.0,23.18596,120.37668,77.93,235.35078551884402,6,10,0.6,0.0,0.01897193554899164
2021/04/03 03:47:15.000000,146,22,24.96,88.6,1006.174843,1.5032258064516129,-83.0,23.18596,120.37668,78.09,235.35078551884402,6,9,0.03,0.0,0.01901088729370195
2021/04/03 03:47:16.000000,146,23,24.96,88.7,1006.156562,1.5032258064516129,-82.0,23.18596,120.37667,77.33,235.35129527136738,6,9,0.2,0.0,0.018825825730818552
2021/04/03 03:47:17.000000,146,24,24.93,88.8,1006.158125,1.5032258064516129,-83.0,23.18596,120.37668,77.06,235.35078551884402,6,9,0.14,0.0,0.01876013543682331
2021/04/03 03:47:18.000000,146,25,24.92,88.9,1006.190312,1.5032258064516129,-82.0,23.18596,120.37667,76.95,235.35129527136738,6,9,0.06,0.0,0.018733315537276377
2021/04/03 03:47:19.000000,146,26,24.9,88.9,1006.1675,1.5032258064516129,-83.0,23.18596,120.37667,76.15,235.35129527136738,6,9,0.09,0.0,0.018538557234763643
2021/04/03 03:47:20.000000,146,27,24.87,88.9,1006.165625,1.5032258064516129,-83.0,23.18596,120.37667,75.96,235.35129527136738,6,9,0.28,0.0,0.018492302137853744
2021/04/03 03:47:21.000000,146,28,24.85,89.0,1006.1694530000001,1.5032258064516129,-81.0,23.18596,120.37667,76.12,235.35129527136738,6,10,0.18,0.0,0.01853125379841105
2021/04/03 03:47:22.000000,146,29,24.83,89.1,1006.133281,1.5032258064516129,-80.0,23.18597,120.37667,76.19,235.3503300415372,6,9,0.1,0.0,0.01854837122103363
2021/04/03 03:47:23.000000,146,30,24.82,89.2,1006.1421869999999,1.5032258064516129,-81.0,23.18597,120.37667,76.02,235.3503300415372,6,10,0.07,0.0,0.018506984911964137
2021/04/03 03:47:24.000000,146,31,24.81,89.3,1006.1594530000001,1.5032258064516129,-76.0,23.18597,120.37667,76.21,235.3503300415372,6,9,0.11,0.0,0.018553240198569947
2021/04/03 03:47:25.000000,146,32,24.79,89.4,1006.145937,1.5032258064516129,-93.0,23.18597,120.37667,76.26,235.3503300415372,6,9,0.33,0.0,0.018565412642409566
2021/04/03 03:47:26.000000,146,33,24.77,89.5,1006.184843,1.5032258064516129,-91.0,23.18597,120.37667,76.51,235.3503300415372,6,9,0.41,0.0,0.01862627486158249
2021/04/03 03:47:27.000000,146,34,24.77,89.7,1006.14,1.5032258064516129,-91.0,23.18597,120.37667,76.54,235.3503300415372,6,9,2.15,0.0,0.018633578327880422
2021/04/03 03:47:28.000000,146,35,24.76,89.8,1006.143046,1.5032258064516129,-91.0,23.18597,120.37667,76.77,235.3503300415372,6,9,0.58,0.0,0.01868957156947774
2021/04/03 03:47:29.000000,146,36,24.74,89.9,1006.137968,1.5032258064516129,-91.0,23.18597,120.37668,76.62,235.34982028696226,6,9,0.2,0.0,0.018653094639476796
2021/04/03 03:47:30.000000,146,37,24.71,89.9,1006.155312,1.5032258064516129,-92.0,23.18597,120.37668,77.01,235.34982028696226,6,9,0.18,0.0,0.01874803990691929
2021/04/03 03:47:31.000000,146,38,24.7,90.0,1006.1757030000001,1.4924731182795699,-92.0,23.18597,120.37668,77.32,235.34982028696226,6,9,0.31,0.0,0.018823509221992458
2021/04/03 03:47:32.000000,146,39,24.69,90.1,1006.246875,1.4924731182795699,-97.0,23.18597,120.37668,77.22,235.34982028696226,6,9,0.13,0.0,0.0187991642816534
2021/04/03 03:47:33.000000,146,40,24.68,90.1,1006.2263280000001,1.5032258064516129,-95.0,23.18597,120.37668,77.08,235.34982028696226,6,9,0.34,0.0,0.018765081365167312
2021/04/03 03:47:34.000000,146,41,24.66,90.2,1006.266562,1.5032258064516129,-93.0,23.18597,120.37668,77.31,235.34982028696226,6,9,0.42,0.0,0.01882107472795886
2021/04/03 03:47:35.000000,146,42,24.64,90.3,1006.222031,1.4924731182795699,-89.0,23.18597,120.37668,77.34,235.34982028696226,6,9,0.53,0.0,0.01882837821005946
2021/04/03 03:47:36.000000,146,43,24.63,90.3,1006.213437,1.4924731182795699,-89.0,23.18597,120.37668,77.27,235.34982028696226,6,9,0.02,0.0,0.018811336751823778
2021/04/03 03:47:37.000000,146,44,24.61,90.4,1006.219218,1.5032258064516129,-89.0,23.18597,120.37668,77.38,235.34982028696226,6,9,0.4,0.0,0.018838116186192633
2021/04/03 03:47:38.000000,146,45,24.61,90.4,1006.200625,1.5032258064516129,-89.0,23.18597,120.37668,77.67,235.34982028696226,6,9,0.41,0.0,0.018908716513125593
2021/04/03 03:47:39.000000,146,46,24.58,90.5,1006.242109,1.4924731182795699,-91.0,23.18597,120.37668,77.87,235.34982028696226,6,9,0.14,0.0,0.018957406393735568
2021/04/03 03:47:40.000000,146,47,24.57,90.5,1006.2339059999999,1.4924731182795699,-96.0,23.18597,120.37669,77.81,235.3493105356685,6,9,0.23,0.0,0.01894284045842352
