Time,NodeID,PacketID,Temperature(degree C),Humidity(%),Pressure(hPa),Voltage(V),RSSI,Lat,Lon,Height(m),Distance(km),Sat,SNR,Speed(km/hr),Direction(degree),angle(degree)
2021/04/02 13:41:38.000000,2315,0,35.36,45.6,1003.049375,1.4838709677419355,-86.0,23.18605,120.3767,71.73,235.34107894679335,4,10,1.61,277.19,0.01746327566611411
2021/04/02 13:41:39.000000,2315,1,35.35,45.7,1003.064218,1.4989247311827958,-84.0,23.18604,120.3767,72.81,235.34204417233028,4,10,0.19,277.19,0.017726138089433723
2021/04/02 13:41:40.000000,2315,2,35.34,45.9,1003.055937,1.4860215053763441,-84.0,23.18604,120.37671,72.24,235.34153441324045,4,9,0.72,277.19,0.017587405437575757
2021/04/02 13:41:41.000000,2315,3,35.31,46.1,1003.09414,1.4860215053763441,-84.0,23.18603,120.3767,73.69,235.343009399173,4,10,0.21,277.19,0.01794030706548466
2021/04/02 13:41:42.000000,2315,4,35.31,46.1,1003.068906,1.4967741935483871,-84.0,23.18603,120.37676,68.71,235.33995090618728,5,9,0.53,277.19,0.016728111327151865
2021/04/02 13:41:43.000000,2315,5,35.29,46.2,1003.086875,1.4946236559139785,-83.0,23.18603,120.37679,65.95,235.33842170401164,5,10,0.62,277.19,0.016056267109353352
2021/04/02 13:41:44.000000,2315,6,35.29,46.2,1003.037734,1.4860215053763441,-86.0,23.18603,120.37681,65.39,235.337402252308,5,10,0.32,277.19,0.015919997799273507
2021/04/02 13:41:45.000000,2315,7,35.28,46.1,1003.083125,1.4967741935483871,-86.0,23.18603,120.37682,64.46,235.3368925313811,5,9,0.25,277.19,0.015693611891127678
2021/04/02 13:41:46.000000,2315,8,35.27,46.1,1003.0753119999999,1.4860215053763441,-84.0,23.18603,120.37682,64.14,235.3368925313811,5,9,0.29,277.19,0.015615703799972703
2021/04/02 13:41:47.000000,2315,9,35.26,46.1,1003.080937,1.4967741935483871,-87.0,23.18603,120.37684,63.39,235.3358730993733,5,9,0.75,277.19,0.015433173564497967
2021/04/02 13:41:48.000000,2315,10,35.23,46.2,1003.060156,1.4967741935483871,-84.0,23.18602,120.37685,62.95,235.33632864721832,5,9,1.48,277.19,0.015326019807732521
2021/04/02 13:41:49.000000,2315,11,35.22,46.3,1003.107812,1.4967741935483871,-84.0,23.18602,120.37685,63.04,235.33632864721832,5,9,0.94,277.19,0.015347931510937598
2021/04/02 13:41:50.000000,2315,12,35.22,46.3,1002.99625,1.4838709677419355,-84.0,23.18602,120.37685,62.89,235.33632864721832,5,9,0.68,277.19,0.015311412005593316
2021/04/02 13:41:51.000000,2315,13,35.22,46.3,1003.068125,1.4967741935483871,-89.0,23.18602,120.37685,63.28,235.33632864721832,5,9,0.6,277.19,0.015406362719462505
2021/04/02 13:41:52.000000,2315,14,35.21,46.3,1003.070937,1.4989247311827958,-89.0,23.18602,120.37685,64.04,235.33632864721832,5,9,1.06,277.19,0.015591394879579378
2021/04/02 13:41:53.000000,2315,15,35.19,46.6,1003.080625,1.4989247311827958,-88.0,23.18601,120.37685,64.0,235.33729390744728,5,9,1.45,277.19,0.015581592435074017
2021/04/02 13:41:54.000000,2315,16,35.17,46.3,1003.025937,1.4989247311827958,-84.0,23.18601,120.37684,65.14,235.33780361442246,5,10,0.86,277.19,0.015859105187716046
2021/04/02 13:41:55.000000,2315,17,35.14,46.1,1003.042656,1.4989247311827958,-87.0,23.18601,120.37683,66.29,235.33831332468176,5,10,0.57,277.19,0.01613905135042679
2021/04/02 13:41:56.000000,2315,18,35.12,46.0,1003.046328,1.4989247311827958,-87.0,23.18601,120.37683,67.13,235.33831332468176,5,10,0.62,277.19,0.016343558853874902
2021/04/02 13:41:57.000000,2315,19,35.08,46.1,1003.049375,1.4989247311827958,-87.0,23.18601,120.37682,68.18,235.33882303822395,5,10,0.73,277.19,0.016599157280888874
2021/04/02 13:41:58.000000,2315,20,35.05,46.2,1003.081093,1.4989247311827958,-84.0,23.186,120.37681,69.08,235.34029800837624,5,10,2.66,277.19,0.016818166580836274
2021/04/02 13:41:59.000000,2315,21,35.03,46.3,1003.099921,1.4967741935483871,-84.0,23.186,120.3768,69.79,235.3408077264325,5,9,3.35,258.84,0.016990985854226832
2021/04/02 13:42:00.000000,2315,22,35.01,46.4,1003.0746869999999,1.4989247311827958,-84.0,23.186,120.3768,70.44,235.3408077264325,5,9,2.05,258.84,0.01714923402944798
2021/04/02 13:42:01.000000,2315,23,34.97,46.3,1003.0783590000001,1.4946236559139785,-84.0,23.186,120.37679,71.04,235.34131744777028,5,9,1.88,258.84,0.01729527180829838
2021/04/02 13:42:02.000000,2315,24,34.93,46.4,1003.0900780000001,1.4838709677419355,-86.0,23.186,120.37679,71.61,235.34131744777028,5,9,2.73,252.98,0.017434042984039506
2021/04/02 13:42:03.000000,2315,25,34.9,46.4,1003.0620309999999,1.4838709677419355,-84.0,23.186,120.37679,72.01,235.34131744777028,5,9,2.95,245.19,0.01753142626513932
2021/04/02 13:42:04.000000,2315,26,34.89,46.5,1003.064218,1.4989247311827958,-83.0,23.186,120.37678,72.66,235.3418271723922,5,9,3.13,245.96,0.01768963578281602
2021/04/02 13:42:05.000000,2315,27,34.87,46.6,1003.115859,1.4989247311827958,-84.0,23.186,120.37678,73.95,235.3418271723922,5,9,2.78,249.61,0.01800369618291024
2021/04/02 13:42:06.000000,2315,28,34.83,46.7,1003.0723429999999,1.4860215053763441,-84.0,23.186,120.37677,75.12,235.34233690029552,5,9,2.06,249.61,0.018288502049985673
2021/04/02 13:42:07.000000,2315,29,34.8,46.7,1003.060937,1.4838709677419355,-83.0,23.186,120.37677,76.11,235.34233690029552,5,10,1.63,249.61,0.018529524624203878
2021/04/02 13:42:08.000000,2315,30,34.77,46.8,1003.016875,1.4967741935483871,-82.0,23.186,120.37676,76.46,235.34284663148156,5,10,1.28,249.61,0.01861469430721551
2021/04/02 13:42:09.000000,2315,31,34.73,46.9,1003.068125,1.4967741935483871,-83.0,23.186,120.37676,76.84,235.34284663148156,5,9,1.29,249.61,0.018707207821932637
2021/04/02 13:42:10.000000,2315,32,34.71,47.0,1003.0723429999999,1.4838709677419355,-83.0,23.186,120.37676,77.22,235.34284663148156,5,10,1.52,249.61,0.018799721336552208
2021/04/02 13:42:11.000000,2315,33,34.69,47.0,1003.074531,1.4838709677419355,-83.0,23.186,120.37676,77.14,235.34284663148156,5,10,1.54,249.61,0.018780244807166748
2021/04/02 13:42:12.000000,2315,34,34.67,47.1,1003.070937,1.4967741935483871,-84.0,23.186,120.37676,77.61,235.34284663148156,5,9,1.27,249.61,0.01889466941724405
2021/04/02 13:42:13.000000,2315,35,34.62,47.1,1003.072187,1.4967741935483871,-84.0,23.18599,120.37675,78.15,235.34432160827706,5,9,0.8,249.61,0.019026016747575814
2021/04/02 13:42:14.000000,2315,36,34.58,47.2,1003.080625,1.4860215053763441,-86.0,23.18599,120.37675,78.43,235.34432160827706,5,10,1.46,249.61,0.01909418417298328
2021/04/02 13:42:15.000000,2315,37,34.54,47.3,1003.0464059999999,1.4946236559139785,-84.0,23.18599,120.37675,78.74,235.34432160827706,5,10,2.39,249.61,0.01916965525104992
2021/04/02 13:42:16.000000,2315,38,34.52,47.4,1003.131718,1.4967741935483871,-84.0,23.18599,120.37675,79.21,235.34432160827706,5,9,2.8,247.12,0.019284079143475595
2021/04/02 13:42:17.000000,2315,39,34.47,47.4,1003.07625,1.4924731182795699,-84.0,23.18599,120.37675,79.63,235.34432160827706,5,9,1.46,247.12,0.019386330281257785
