Time,NodeID,PacketID,Temperature(degree C),Humidity(%),Pressure(hPa),Voltage(V),RSSI,Lat,Lon,Height(m),Distance(km),Sat,SNR,Speed(km/hr),Direction(degree),angle(degree)
2021/04/02 08:41:57.000000,2330,0,29.18,67.5,1007.560781,1.531182795698925,-67.0,0.0,0.0,0.0,13168.447369028749,0,10,0.0,0.0,0.0
2021/04/02 08:41:58.000000,2330,1,29.13,67.6,1007.578437,1.531182795698925,-68.0,23.18589,120.37679,67.02,235.3519352754406,4,9,1.27,0.0,0.016315833709534197
2021/04/02 08:41:59.000000,2330,2,29.12,67.6,1007.539296,1.5225806451612907,-71.0,23.18589,120.37679,64.78,235.3519352754406,4,9,2.98,324.11,0.015770511930490266
2021/04/02 08:42:00.000000,2330,3,29.1,67.6,1007.565625,1.5225806451612907,-71.0,23.1859,120.37678,64.83,235.35147971595725,4,9,1.99,324.11,0.01578271484150581
2021/04/02 08:42:01.000000,2330,4,29.04,67.6,1007.5683590000001,1.520430107526882,-70.0,23.1859,120.37678,64.58,235.35147971595725,4,9,0.96,324.11,0.015721852917829505
2021/04/02 08:42:02.000000,2330,5,29.03,67.8,1007.618281,1.520430107526882,-70.0,23.1859,120.37678,65.81,235.35147971595725,4,9,1.61,324.11,0.016021293581972185
2021/04/02 08:42:03.000000,2330,6,28.99,67.8,1007.581875,1.520430107526882,-70.0,23.1859,120.37678,64.76,235.35147971595725,4,9,1.93,324.11,0.01576567350288003
2021/04/02 08:42:04.000000,2330,7,28.96,67.9,1007.617656,1.520430107526882,-71.0,23.18591,120.37676,66.49,235.35153387788674,4,9,2.64,324.11,0.016186834288696605
2021/04/02 08:42:05.000000,2330,8,28.94,68.0,1007.61375,1.5182795698924734,-70.0,23.18591,120.37676,67.77,235.35153387788674,4,9,2.11,324.11,0.016498447264407863
2021/04/02 08:42:06.000000,2330,9,28.93,68.0,1007.627812,1.520430107526882,-70.0,23.18591,120.37676,66.82,235.35153387788674,4,9,2.22,324.11,0.01626717200908952
2021/04/02 08:42:07.000000,2330,10,28.9,68.1,1007.595,1.520430107526882,-70.0,23.18591,120.37676,68.03,235.35153387788674,4,10,0.33,324.11,0.016561743649980552
2021/04/02 08:42:08.000000,2330,11,28.87,68.2,1007.597812,1.520430107526882,-71.0,23.18592,120.37675,68.7,235.35107834112063,4,9,0.48,324.11,0.01672488593846265
2021/04/02 08:42:09.000000,2330,12,28.86,68.3,1007.600156,1.520430107526882,-71.0,23.18592,120.37675,68.9,235.35107834112063,4,10,0.52,324.11,0.016773575559959734
2021/04/02 08:42:10.000000,2330,13,28.84,68.4,1007.6075,1.520430107526882,-70.0,23.18591,120.37675,68.62,235.35204359389317,4,9,0.96,324.11,0.016705341575718638
2021/04/02 08:42:11.000000,2330,14,28.82,68.5,1007.6092179999999,1.5182795698924734,-71.0,23.18591,120.37675,69.04,235.35204359389317,4,10,0.28,324.11,0.016807589361502867
2021/04/02 08:42:12.000000,2330,15,28.8,68.6,1007.619687,1.5161290322580647,-68.0,23.18591,120.37676,67.91,235.35153387788674,4,9,1.65,324.11,0.0165325299335674
2021/04/02 08:42:13.000000,2330,16,28.8,68.7,1007.634062,1.5182795698924734,-70.0,23.1859,120.37677,67.44,235.35198942334554,4,9,1.9,324.11,0.016418077765438042
2021/04/02 08:42:14.000000,2330,17,28.8,69.0,1007.6129679999999,1.5182795698924734,-70.0,23.18589,120.37677,66.83,235.35295468283292,4,9,2.33,324.11,0.01626950826729572
2021/04/02 08:42:15.000000,2330,18,28.79,69.2,1007.661562,1.5182795698924734,-71.0,23.18589,120.37677,66.96,235.35295468283292,4,9,1.01,324.11,0.016301156269102158
2021/04/02 08:42:16.000000,2330,19,28.78,69.2,1007.623906,1.5182795698924734,-70.0,23.18589,120.37678,66.48,235.35244497749605,4,9,3.87,73.37,0.016184337159053125
2021/04/02 08:42:17.000000,2330,20,28.77,69.3,1007.603437,1.5182795698924734,-70.0,23.18588,120.37679,65.36,235.35290054033626,4,9,3.41,73.37,0.015911646060472507
2021/04/02 08:42:18.000000,2330,21,28.78,69.3,1007.646875,1.5161290322580647,-68.0,23.18587,120.3768,64.58,235.35335611186937,4,9,3.67,102.48,0.015721727572605825
2021/04/02 08:42:19.000000,2330,22,28.77,69.5,1007.6585150000001,1.524731182795699,-70.0,23.18587,120.3768,64.43,235.35335611186937,4,9,4.37,123.9,0.01568521070952238
2021/04/02 08:42:20.000000,2330,23,28.76,69.5,1007.683593,1.5268817204301077,-68.0,23.18587,120.3768,64.55,235.35335611186937,4,9,3.97,130.32,0.015714424199990158
2021/04/02 08:42:21.000000,2330,24,28.76,69.5,1007.645625,1.5290322580645164,-70.0,23.18587,120.3768,64.15,235.35335611186937,4,10,2.86,134.16,0.015617045898399204
2021/04/02 08:42:22.000000,2330,25,28.75,69.5,1007.600625,1.524731182795699,-70.0,23.18587,120.3768,64.37,235.35335611186937,4,9,2.91,139.43,0.01567060396428543
2021/04/02 08:42:23.000000,2330,26,28.76,69.4,1007.600156,1.520430107526882,-70.0,23.18587,120.3768,64.65,235.35335611186937,4,10,0.26,139.43,0.015738768775373738
2021/04/02 08:42:24.000000,2330,27,28.75,69.6,1007.632968,1.5182795698924734,-70.0,23.18587,120.37679,64.54,235.35386580653793,4,9,0.62,139.43,0.01571195571574462
2021/04/02 08:42:25.000000,2330,28,28.74,69.7,1007.64414,1.5268817204301077,-68.0,23.18587,120.37679,64.31,235.35386580653793,4,10,0.63,139.43,0.015655963313599894
2021/04/02 08:42:26.000000,2330,29,28.74,69.7,1007.651406,1.5268817204301077,-68.0,23.18587,120.37679,64.21,235.35386580653793,4,10,1.28,139.43,0.015631618790918945
2021/04/02 08:42:27.000000,2330,30,28.75,69.6,1007.659296,1.513978494623656,-68.0,23.18586,120.37679,64.33,235.35483107404502,4,10,1.53,139.43,0.01566076798791905
2021/04/02 08:42:28.000000,2330,31,28.76,69.6,1007.667656,1.5161290322580647,-68.0,23.18586,120.3768,64.1,235.3543213814278,4,9,0.36,139.43,0.015604809609707606
2021/04/02 08:42:29.000000,2330,32,28.76,69.6,1007.6790619999999,1.524731182795699,-68.0,23.18586,120.3768,64.15,235.3543213814278,4,9,0.98,139.43,0.015616981847490071
2021/04/02 08:42:30.000000,2330,33,28.76,69.6,1007.697187,1.5268817204301077,-68.0,23.18586,120.3768,64.47,235.3543213814278,4,9,4.3,146.89,0.015694884169264428
2021/04/02 08:42:31.000000,2330,34,28.75,69.6,1007.657343,1.524731182795699,-68.0,23.18586,120.37679,65.1,235.35483107404502,4,9,4.25,143.32,0.015848220043558098
2021/04/02 08:42:32.000000,2330,35,28.75,69.5,1007.657343,1.5225806451612907,-68.0,23.18587,120.37678,67.25,235.35437550449052,4,9,2.12,143.32,0.016371656822311845
2021/04/02 08:42:33.000000,2330,36,28.76,69.5,1007.6534369999999,1.5161290322580647,-70.0,23.18586,120.37679,66.76,235.35483107404502,4,9,2.68,143.32,0.016252337461049142
2021/04/02 08:42:34.000000,2330,37,28.75,69.4,1007.678906,1.5268817204301077,-68.0,23.18585,120.3768,65.73,235.35528665229234,4,9,2.73,143.32,0.016001558932665354
2021/04/02 08:42:35.000000,2330,38,28.75,69.4,1007.642343,1.524731182795699,-68.0,23.18582,120.37682,63.86,235.35716311374316,4,9,6.89,143.29,0.015546195159337773
2021/04/02 08:42:36.000000,2330,39,28.75,69.5,1007.654609,1.5182795698924734,-68.0,23.18582,120.37683,63.87,235.35665343917827,4,9,4.14,141.63,0.015548663248700524
2021/04/02 08:42:37.000000,2330,40,28.75,69.4,1007.6870309999999,1.513978494623656,-70.0,23.18582,120.37683,63.79,235.35665343917827,4,9,1.95,141.63,0.015529187861211248
2021/04/02 08:42:38.000000,2330,41,28.77,69.4,1007.662656,1.524731182795699,-68.0,23.18582,120.37682,64.28,235.35716311374316,4,9,3.2,141.69,0.015648440722182824
2021/04/02 08:42:39.000000,2330,42,28.77,69.4,1007.651562,1.5268817204301077,-68.0,23.18581,120.37684,63.08,235.35710905218784,4,10,5.73,141.93,0.01535631406970948
2021/04/02 08:42:40.000000,2330,43,28.76,69.4,1007.659375,1.5161290322580647,-68.0,23.1858,120.37684,62.47,235.35807433778606,4,9,5.17,142.3,0.015207752154665508
2021/04/02 08:42:41.000000,2330,44,28.77,69.3,1007.69664,1.5161290322580647,-68.0,23.1858,120.37684,62.73,235.35807433778606,4,10,4.61,140.83,0.015271046782060151
2021/04/02 08:42:42.000000,2330,45,28.75,69.3,1007.669843,1.513978494623656,-68.0,23.1858,120.37684,62.7,235.35807433778606,4,10,4.04,143.06,0.015263743555824208
2021/04/02 08:42:43.000000,2330,46,28.76,69.3,1007.653593,1.5225806451612907,-67.0,23.18579,120.37685,62.37,235.3585299628451,4,10,6.16,143.27,0.015183378673993882
2021/04/02 08:42:44.000000,2330,47,28.76,69.2,1007.63375,1.5268817204301077,-68.0,23.18581,120.37683,63.94,235.3576187214187,4,9,4.63,142.96,0.015565640372467219
2021/04/02 08:42:45.000000,2330,48,28.75,69.3,1007.627343,1.5225806451612907,-68.0,23.18582,120.37681,65.18,235.35767279158952,4,9,2.15,142.96,0.015867503994633273
2021/04/02 08:42:46.000000,2330,49,28.76,69.2,1007.5979679999999,1.5225806451612907,-71.0,23.18584,120.3768,66.7,235.35625192446253,4,9,0.77,142.96,0.016237632779931212
2021/04/02 08:42:47.000000,2330,50,28.75,69.2,1007.596796,1.524731182795699,-72.0,23.18583,120.3768,66.34,235.35721719793813,4,9,3.19,142.96,0.016149927151108072
2021/04/02 08:42:48.000000,2330,51,28.76,69.2,1007.6065619999999,1.524731182795699,-73.0,23.18579,120.37683,65.7,235.35954928981752,4,10,10.68,142.96,0.01599396594526032
2021/04/02 08:42:49.000000,2330,52,28.74,69.4,1007.6009369999999,1.5225806451612907,-72.0,23.18582,120.37677,75.74,235.3597115358048,5,9,12.05,165.35,0.018438084250712007
2021/04/02 08:42:50.000000,2330,53,28.75,69.5,1007.649218,1.5225806451612907,-71.0,23.18582,120.37675,80.0,235.3607309276085,4,9,8.63,166.93,0.01947505077188344
