Time,NodeID,PacketID,Temperature(degree C),Humidity(%),Pressure(hPa),Voltage(V),RSSI,Lat,Lon,Height(m),Distance(km),Sat,SNR,Speed(km/hr),Direction(degree),angle(degree)
2021/04/03 21:42:22.000000,2306,4,26.75,76.3,1006.9885929999999,1.574193548387097,-83.0,23.18597,120.37672,78.29,235.34778130148408,4,9,0.25,0.0,0.019059820270284678
2021/04/03 21:42:23.000000,2306,5,26.74,76.2,1006.9580460000001,1.5720430107526884,-82.0,23.18597,120.37672,79.06,235.34778130148408,4,9,0.16,0.0,0.019247277934218612
2021/04/03 21:42:24.000000,2306,6,26.73,76.3,1006.948046,1.5720430107526884,-83.0,23.18597,120.37672,79.56,235.34778130148408,4,9,0.55,0.0,0.01936900368979946
2021/04/03 21:42:25.000000,2306,7,26.7,76.4,1006.937187,1.5698924731182797,-80.0,23.18597,120.37673,80.03,235.34727156332326,4,9,0.1,0.0,0.019483468098994004
2021/04/03 21:42:26.000000,2306,8,26.69,76.4,1006.932343,1.5698924731182797,-81.0,23.18597,120.37672,80.27,235.34778130148408,4,9,0.11,0.0,0.01954185426242358
2021/04/03 21:42:27.000000,2306,9,26.68,76.5,1006.9370309999999,1.567741935483871,-84.0,23.18597,120.37672,80.49,235.34778130148408,4,10,0.04,0.0,0.01959541359471394
2021/04/03 21:42:28.000000,2306,10,26.65,76.5,1006.925,1.5698924731182797,-86.0,23.18598,120.37673,80.84,235.3463063224888,4,9,0.19,0.0,0.01968074496705941
2021/04/03 21:42:29.000000,2306,11,26.63,76.6,1006.9417960000001,1.5698924731182797,-92.0,23.18598,120.37673,81.81,235.3463063224888,4,9,0.72,0.0,0.019916894411508866
2021/04/03 21:42:30.000000,2306,12,26.61,76.6,1006.9503119999999,1.567741935483871,-89.0,23.18598,120.37673,82.13,235.3463063224888,4,9,0.33,0.0,0.01999479938272558
2021/04/03 21:42:31.000000,2306,13,26.61,76.7,1006.958593,1.567741935483871,-90.0,23.18598,120.37673,82.08,235.3463063224888,4,9,0.32,0.0,0.019982626730977837
2021/04/03 21:42:32.000000,2306,14,26.6,76.7,1006.886718,1.567741935483871,-80.0,23.18598,120.37673,82.04,235.3463063224888,4,9,0.16,0.0,0.019972888609578344
2021/04/03 21:42:33.000000,2306,15,26.58,77.0,1006.9184369999999,1.567741935483871,-79.0,23.18598,120.37673,82.07,235.3463063224888,4,9,1.7,0.0,0.01998019220062807
2021/04/03 21:42:34.000000,2306,16,26.58,77.3,1006.79625,1.567741935483871,-84.0,23.18598,120.37672,82.36,235.34681606270112,4,9,3.29,0.0,0.020050750152514993
2021/04/03 21:42:35.000000,2306,17,26.55,77.2,1006.80625,1.5655913978494627,-91.0,23.18598,120.37672,82.07,235.34681606270112,4,9,0.97,0.0,0.019980148925317364
2021/04/03 21:42:36.000000,2306,18,26.53,76.9,1006.808125,1.5655913978494627,-95.0,23.18598,120.37672,81.98,235.34681606270112,4,9,0.15,0.0,0.019958238199622995
2021/04/03 21:42:37.000000,2306,19,26.49,76.7,1006.828906,1.5655913978494627,-87.0,23.18598,120.37672,82.16,235.34681606270112,4,9,0.19,0.0,0.02000205965100589
2021/04/03 21:42:38.000000,2306,20,26.46,76.7,1006.806406,1.5655913978494627,-88.0,23.18598,120.37672,82.29,235.34681606270112,4,9,0.08,0.0,0.020033708476990097
2021/04/03 21:42:39.000000,2306,21,26.44,76.7,1006.8138280000001,1.5655913978494627,-83.0,23.18598,120.37672,82.25,235.34681606270112,4,9,0.9,0.0,0.020023970376688568
2021/04/03 21:42:40.000000,2306,22,26.43,76.7,1006.827187,1.563440860215054,-88.0,23.18598,120.37671,82.3,235.34732580619868,4,9,0.11,0.0,0.02003609960538448
2021/04/03 21:42:41.000000,2306,23,26.4,76.7,1006.7914059999999,1.563440860215054,-87.0,23.18598,120.37671,82.2,235.34732580619868,4,9,0.59,0.0,0.020011754407359063
2021/04/03 21:42:42.000000,2306,24,26.38,76.8,1006.851875,1.5655913978494627,-87.0,23.18598,120.37671,82.09,235.34732580619868,4,10,0.11,0.0,0.019984974689522757
2021/04/03 21:42:43.000000,2306,25,26.35,76.9,1006.789531,1.567741935483871,-82.0,23.18598,120.37671,82.05,235.34732580619868,4,9,0.99,0.0,0.019975236610307385
2021/04/03 21:42:44.000000,2306,26,26.32,77.0,1006.833515,1.567741935483871,-84.0,23.18598,120.37671,81.94,235.34732580619868,4,9,0.46,0.0,0.019948456892459172
2021/04/03 21:42:45.000000,2306,27,26.29,77.1,1006.791718,1.5655913978494627,-83.0,23.18598,120.37671,81.83,235.34732580619868,4,9,0.97,0.0,0.019921677174602245
2021/04/03 21:42:46.000000,2306,28,26.28,77.2,1006.805625,1.5655913978494627,-83.0,23.18598,120.37671,81.71,235.34732580619868,4,9,0.76,0.0,0.019892462936930214
2021/04/03 21:42:47.000000,2306,29,26.26,77.3,1006.8020309999999,1.5655913978494627,-84.0,23.18598,120.37672,81.75,235.34681606270112,4,10,0.2,0.0,0.01990224412282199
2021/04/03 21:42:48.000000,2306,30,26.24,77.3,1006.800937,1.5655913978494627,-84.0,23.18598,120.37671,81.47,235.34732580619868,4,9,0.3,0.0,0.01983403446155514
2021/04/03 21:42:49.000000,2306,31,26.22,77.4,1006.81289,1.5548387096774197,-86.0,23.18598,120.37671,81.35,235.34732580619868,4,9,0.69,0.0,0.019804820223852125
2021/04/03 21:42:50.000000,2306,32,26.2,77.5,1006.8071090000001,1.5548387096774197,-83.0,23.18597,120.37671,81.27,235.34829104293007,4,9,0.99,0.0,0.019785262919518404
2021/04/03 21:42:51.000000,2306,33,26.17,77.6,1006.8111710000001,1.5655913978494627,-83.0,23.18597,120.37671,81.08,235.34829104293007,4,9,0.24,0.0,0.01973900723283312
2021/04/03 21:42:52.000000,2306,34,26.14,77.6,1006.844531,1.5655913978494627,-83.0,23.18597,120.37671,80.91,235.34829104293007,4,9,0.15,0.0,0.019697620565777105
2021/04/03 21:42:53.000000,2306,35,26.12,77.7,1006.7758590000001,1.5548387096774197,-83.0,23.18597,120.37671,80.79,235.34829104293007,4,10,0.72,0.0,0.019668406447842842
2021/04/03 21:42:54.000000,2306,36,26.11,77.8,1006.815468,1.5548387096774197,-83.0,23.18597,120.37671,80.6,235.34829104293007,4,9,1.69,0.0,0.019622150761092666
2021/04/03 21:42:55.000000,2306,37,26.08,78.0,1006.803437,1.5548387096774197,-83.0,23.18597,120.37671,80.39,235.34829104293007,4,9,1.3,0.0,0.019571026054654828
2021/04/03 21:42:56.000000,2306,38,26.05,78.1,1006.822031,1.5655913978494627,-83.0,23.18597,120.37671,80.61,235.34829104293007,4,9,0.19,0.0,0.01962458527092226
2021/04/03 21:42:57.000000,2306,39,26.02,78.2,1006.815156,1.5655913978494627,-83.0,23.18597,120.37671,80.67,235.34829104293007,4,9,0.23,0.0,0.01963919232989834
2021/04/03 21:42:58.000000,2306,40,26.0,78.3,1006.820859,1.563440860215054,-84.0,23.18597,120.37671,80.61,235.34829104293007,4,9,1.62,0.0,0.01962458527092226
2021/04/03 21:42:59.000000,2306,41,25.99,78.3,1006.81375,1.563440860215054,-83.0,23.18597,120.37671,80.67,235.34829104293007,4,9,1.18,0.0,0.01963919232989834
2021/04/03 21:43:00.000000,2306,42,25.97,78.4,1006.8067179999999,1.563440860215054,-83.0,23.18597,120.37671,80.73,235.34829104293007,4,9,0.13,0.0,0.01965379938887187
2021/04/03 21:43:01.000000,2306,43,25.95,78.5,1006.812968,1.563440860215054,-83.0,23.18597,120.37671,80.73,235.34829104293007,4,9,0.09,0.0,0.01965379938887187
2021/04/03 21:43:02.000000,2306,44,25.91,78.5,1006.79875,1.552688172043011,-82.0,23.18597,120.37671,80.69,235.34829104293007,4,9,0.9,0.0,0.019644061349556468
2021/04/03 21:43:03.000000,2306,45,25.91,78.6,1006.812656,1.552688172043011,-83.0,23.18597,120.37671,80.66,235.34829104293007,4,9,1.18,0.0,0.01963675782006917
2021/04/03 21:43:04.000000,2306,46,25.89,78.7,1006.8117179999999,1.5612903225806454,-88.0,23.18597,120.37671,80.59,235.34829104293007,4,9,0.48,0.0,0.019619716251263002
2021/04/03 21:43:05.000000,2306,47,25.87,78.8,1006.809843,1.5612903225806454,-88.0,23.18597,120.37671,80.57,235.34829104293007,4,10,0.16,0.0,0.01961484723160346
2021/04/03 21:43:06.000000,2306,48,25.85,78.8,1006.80539,1.552688172043011,-83.0,23.18597,120.37671,80.54,235.34829104293007,4,9,0.25,0.0,0.019607543702113615
2021/04/03 21:43:07.000000,2306,49,25.83,78.9,1006.821171,1.552688172043011,-83.0,23.18597,120.37671,80.46,235.34829104293007,4,9,0.86,0.0,0.019588067623470904
2021/04/03 21:43:08.000000,2306,50,25.81,79.0,1006.814843,1.5612903225806454,-84.0,23.18597,120.37671,80.58,235.34829104293007,4,9,0.21,0.0,0.019617281741433266
2021/04/03 21:43:09.000000,2306,51,25.79,79.1,1006.805625,1.5612903225806454,-78.0,23.18597,120.37671,80.5,235.34829104293007,4,9,0.66,0.0,0.019597805662792827
2021/04/03 21:43:10.000000,2306,52,25.78,79.5,1006.8217179999999,1.552688172043011,-83.0,23.18597,120.3767,80.33,235.34880078765863,4,9,0.06,0.0,0.019556376638192825
2021/04/03 21:43:11.000000,2306,53,25.75,80.4,1006.7914059999999,1.5505376344086024,-83.0,23.18597,120.37671,80.37,235.34829104293007,4,9,3.61,0.0,0.019566157034992458
2021/04/03 21:43:12.000000,2306,54,25.73,80.7,1006.778906,1.5505376344086024,-84.0,23.18597,120.37671,80.5,235.34829104293007,4,9,1.96,0.0,0.019597805662792827
2021/04/03 21:43:13.000000,2306,55,25.72,80.7,1006.7955460000001,1.5505376344086024,-86.0,23.18597,120.3767,79.95,235.34880078765863,5,9,0.11,0.0,0.019463865464914836
2021/04/03 21:43:14.000000,2306,56,25.71,80.5,1006.791953,1.5612903225806454,-83.0,23.18597,120.37669,79.18,235.3493105356685,5,9,0.33,0.0,0.019276366862313515
