100,200,300,400,500,600,700,800,900,1000
Time,Temp.,Humin.,Pressure.,Az,H1_u,H1_v,H1_w,H1_ws,H1_wd,H2_u,H2_v,H2_w,H2_ws,H2_wd,H3_u,H3_v,H3_w,H3_ws,H3_wd,H4_u,H4_v,H4_w,H4_ws,H4_wd,H5_u,H5_v,H5_w,H5_ws,H5_wd,H6_u,H6_v,H6_w,H6_ws,H6_wd,H7_u,H7_v,H7_w,H7_ws,H7_wd,H8_u,H8_v,H8_w,H8_ws,H8_wd,H9_u,H9_v,H9_w,H9_ws,H9_wd,H10_u,H10_v,H10_w,H10_ws,H10_wd
20210401_13:02:08.59,99.9,99.9,999.9,001,10.97,-3.66,-1.08,11.61,288.43,0.73,0.73,-1.18,1.57,225.00,-1.10,-0.55,-0.51,1.33,63.43,-4.39,7.31,0.49,8.54,149.04,8.41,4.02,0.44,9.33,244.44,11.33,10.97,-0.05,15.77,225.94,-8.41,8.77,0.93,12.19,136.22,1.10,2.56,-1.96,3.40,203.20,-3.29,-3.66,-3.38,5.97,41.99,-1.28,-0.37,-1.54,2.04,74.05
20210401_13:02:09.12,99.9,99.9,999.9,001,10.97,-3.29,-1.13,11.50,286.70,1.28,0.37,-1.15,1.76,254.05,-1.83,-0.55,-0.22,1.92,73.30,-3.84,7.31,0.42,8.27,152.30,8.41,4.57,0.51,9.58,241.48,11.33,8.77,0.24,14.33,232.25,-8.41,8.77,0.93,12.19,136.22,1.10,2.56,-1.96,3.40,203.20,-0.00,-3.66,-2.94,4.69,0.00,-1.28,-0.37,-1.54,2.04,74.05
20210401_13:02:09.64,99.9,99.9,999.9,001,10.97,-3.29,-1.13,11.50,286.70,1.10,0.37,-1.18,1.65,251.57,-2.56,-0.73,-0.34,2.68,74.05,-3.11,7.86,0.59,8.47,158.43,8.41,3.47,0.37,9.10,247.56,11.33,8.41,0.29,14.11,233.43,-8.41,8.77,0.93,12.19,136.22,1.10,2.56,-1.96,3.40,203.20,-0.00,-3.66,-2.94,4.69,0.00,-1.28,-0.37,-1.54,2.04,74.05
20210401_13:02:10.17,99.9,99.9,999.9,001,10.97,-3.29,-1.13,11.50,286.70,-0.00,0.37,-1.03,1.09,180.00,-2.92,-0.73,-0.29,3.03,75.96,-3.11,7.86,0.59,8.47,158.43,8.41,3.47,0.37,9.10,247.56,5.48,8.41,1.08,10.09,213.11,-8.41,10.42,0.71,13.41,141.10,1.10,2.56,-1.96,3.40,203.20,-0.91,-3.66,-3.06,4.85,14.04,-1.46,-0.37,-1.52,2.14,75.96
20210401_13:02:10.70,99.9,99.9,999.9,001,10.97,-3.29,-1.13,11.50,286.70,-0.00,2.56,-0.73,2.66,180.00,-2.56,-0.73,-0.24,2.67,74.05,-2.19,7.86,0.47,8.17,164.41,8.41,3.47,0.37,9.10,247.56,5.48,8.41,1.08,10.09,213.11,-8.41,10.42,0.71,13.41,141.10,1.10,2.56,-1.96,3.40,203.20,-0.00,-3.66,-2.94,4.69,0.00,-1.46,-0.37,-1.52,2.14,75.96
20210401_13:02:11.22,99.9,99.9,999.9,001,10.97,-3.29,-1.13,11.50,286.70,0.73,2.56,-0.64,2.74,195.95,-2.92,-0.37,-0.34,2.97,82.87,-1.83,9.14,0.20,9.32,168.69,8.41,2.19,0.54,8.71,255.38,5.48,8.41,1.08,10.09,213.11,-5.12,10.42,0.27,11.61,153.84,5.85,2.56,-1.32,6.52,246.37,-0.00,-3.66,-2.94,4.69,0.00,-1.46,-0.37,-1.52,2.14,75.96
20210401_13:02:11.75,99.9,99.9,999.9,001,10.97,-3.29,-1.13,11.50,286.70,0.73,2.01,-0.56,2.21,199.98,-1.10,-0.73,-0.54,1.42,56.31,-1.83,9.50,0.15,9.68,169.11,8.41,1.10,0.69,8.51,262.57,5.48,8.41,1.08,10.09,213.11,-5.12,10.42,0.27,11.61,153.84,5.85,6.21,-1.81,8.72,223.26,-0.00,-3.66,-2.94,4.69,0.00,-1.46,-0.37,-1.52,2.14,75.96
20210401_13:02:12.28,99.9,99.9,999.9,001,10.97,-3.29,-1.13,11.50,286.70,-0.00,3.47,-0.07,3.47,180.00,-2.92,-0.37,-0.34,2.97,82.87,-1.83,9.50,0.15,9.68,169.11,8.41,1.10,0.69,8.51,262.57,-1.10,7.86,0.27,7.94,172.06,-5.12,10.42,0.27,11.61,153.84,5.85,6.21,-1.81,8.72,223.26,-0.00,-3.66,-2.94,4.69,0.00,-1.46,-0.37,-1.52,2.14,75.96
20210401_13:02:12.80,99.9,99.9,999.9,001,10.97,-3.29,-1.13,11.50,286.70,-0.00,3.47,-0.07,3.47,180.00,-2.92,-0.37,-0.34,2.97,82.87,-1.83,9.50,0.15,9.68,169.11,8.96,1.10,0.61,9.04,263.02,-1.10,7.86,0.27,7.94,172.06,-5.12,10.42,0.27,11.61,153.84,5.85,6.21,-1.81,8.72,223.26,-0.00,-3.66,-2.94,4.69,0.00,-1.46,-0.37,-1.52,2.14,75.96
20210401_13:02:13.33,99.9,99.9,999.9,001,10.97,-3.29,-1.13,11.50,286.70,-0.00,3.47,0.22,3.48,180.00,-2.56,-0.37,-0.29,2.60,81.87,-1.83,9.50,0.15,9.68,169.11,9.50,2.92,0.78,9.97,252.90,-1.10,8.41,0.20,8.48,172.57,-5.12,12.06,0.05,13.10,157.01,5.85,6.21,-1.81,8.72,223.26,-0.00,-3.66,-2.94,4.69,0.00,-1.46,-0.37,-1.52,2.14,75.96
